"instant";"season";"yr";"mnth";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"leaflets";"price reduction";"cnt"
135;2.0;0;5;0;0;0;2;22.5;0.536;130.06245;0.152979;1024;0;4553
425;1.0;1;2;0;3;1;2;13.7739;0.34847;120.71745;0.179117;629;0;1834
227;3.0;0;8;0;1;1;1;26.6333;0.616167;106.81245;0.208954;815;0;4338
502;2.0;1;5;0;3;1;1;25.4667;0.595975;104.68755;0.122512;588;0;7424
524;2.0;1;6;0;4;1;1;24.1;0.569442;93.8451999116608;0.15735;537;0;7494
188;3.0;0;7;0;4;1;1;30.0;0.686871;93.8451999116608;0.1592;723;0;4592
9;1.0;0;1;0;0;0;1;5.5333;0.116175;65.12505;0.36195;836;0;822
378;1.0;1;1;0;5;1;1;10.9667;0.249362;76.125;0.378108;911;0;3214
722;1.0;1;12;0;6;0;1;10.6333;0.23611300000000002;66.1875;0.407346;572;0;1749
4;1.0;0;1;0;2;1;1;8.0;0.21212199999999998;88.56525;0.160296;734;0;1562
557;2.436802973977695;1;7;0;2;1;2;28.8333;0.664796;100.125;0.15173699999999998;516;1;6290
144;2.0;0;5;0;2;1;2;26.4;0.604813;111.12495;0.207092;829;0;4492
481;2.0;1;4;0;3;1;1;19.0667;0.470317;64.18755;0.11879200000000001;636;0;6196
578;3.0;1;7;0;2;1;1;28.5333;0.662896;105.62505;0.165425;864;0;7216
564;3.0;1;7;0;2;1;1;32.7333;0.755683;75.87495;0.114429;809;0;6786
683;2.436802973977695;1;11;0;2;1;2;13.7333;0.323225;99.43755;0.342046;542;0;4094
699;4.0;1;11;0;4;1;1;11.2348;0.29842199999999997;83.3478;0.115522;509;0;5323
637;4.0;1;9;0;5;1;2;24.7667;0.585863;103.5;0.164179;658;0;7415
548;3.0;1;7;0;0;0;1;32.6333;0.750629;93.8451999116608;0.16852899999999998;860;1;5531
261;3.0;0;9;0;0;0;1;20.3;0.490537;104.25;0.178483;750;1;4274
626;3.0;1;9;0;1;1;2;23.2333;0.55305;110.18745;0.15174200000000002;848;0;6869
681;4.0;1;11;0;0;0;1;16.8333;0.421713;98.87505;0.1275;783;0;6852
397;1.0;1;2;0;3;1;1;18.7667;0.466538;76.18755;0.189067;787;0;4579
8;1.0;0;1;0;6;0;2;6.6;0.162254;80.37495;0.266804;990;0;959
354;4.0;0;12;0;2;1;2;15.4333;0.396454;89.31255;0.06157080000000001;867;1;3750
304;4.0;0;10;0;1;1;1;13.6;0.356063;105.49995;0.10635;720;0;3669
597;3.0;1;8;0;0;0;2;25.4333;0.603554;93.8451999116608;0.08645;540;0;4549
464;2.436802973977695;1;4;0;0;0;1;20.0;0.492425;41.37495;0.232596;557;1;5169
119;2.0;0;4;0;5;1;1;20.4;0.497463;68.56245;0.240063;911;1;4595
132;2.0;0;5;0;4;1;1;21.4;0.523363;93.8451999116608;0.189667;983;0;4864
562;2.436802973977695;1;7;0;0;0;1;29.8333;0.705196;107.68755;0.166667;690;1;6031
441;1.0;1;3;0;5;1;2;17.4333;0.436229;126.31245;0.113192;585;0;4378
608;3.0;1;8;0;4;1;1;28.2667;0.652779;88.56255;0.0771167;592;0;7713
163;2.0;0;6;0;0;0;1;27.7;0.643325;112.18755;0.16356700000000002;495;0;4460
44;1.0;0;2;0;0;0;1;12.6609;0.324113;68.60865;0.260883;686;1;1589
367;1.0;1;1;1;1;0;1;10.9217;0.252304;57.1956;0.329665;989;0;1951
529;2.0;1;6;0;2;1;2;26.1333;0.597875;124.99995;0.21454600000000001;777;0;4972
669;4.0;1;10;0;2;1;2;12.7273;0.309909;123.81825;0.213009;846;0;1096
321;4.0;0;11;0;4;1;2;13.6667;0.323221;86.37495;0.30536199999999997;532;0;3053
232;2.436802973977695;0;8;0;6;0;1;27.9;0.648996;101.12505;0.104467;675;0;5191
702;4.0;1;12;0;0;0;2;13.9;0.35920799999999997;123.49995;0.12437899999999999;702;0;4649
303;4.0;0;10;0;0;0;1;12.7667;0.321329;93.5625;0.176617;787;0;3331
514;2.0;1;5;1;1;0;1;28.5;0.6793;101.4375;0.196521;506;0;6043
501;2.0;1;5;0;2;1;2;24.4667;0.576404;119.18745;0.147392;779;0;5115
401;1.0;1;2;0;0;0;2;10.6333;0.264521;103.18755;0.175996;769;0;2947
341;4.0;0;12;0;3;1;3;16.4;0.400246;93.8451999116608;0.266175;586;1;705
277;4.0;0;10;0;2;1;1;19.3667;0.472858;106.5;0.205854;819;0;4456
408;1.0;1;2;0;0;0;1;5.1;0.101658;69.68745;0.40921199999999996;644;0;1529
682;4.0;1;11;1;1;0;1;19.4;0.475383;111.25005;0.173517;793;0;6269
206;3.0;0;7;0;1;1;1;29.7333;0.720958;113.56245;0.09080830000000001;474;0;3840
190;3.0;0;7;0;6;0;1;29.3333;0.664158;91.37505;0.16791199999999998;755;0;5336
202;3.0;0;7;0;4;1;2;32.6;0.826371;103.6875;0.222021;788;0;3784
620;2.436802973977695;1;9;0;2;1;1;23.1;0.554292;78.0;0.09205419999999999;469;0;7767
100;2.0;0;4;0;0;0;2;17.0667;0.426737;128.625;0.146767;661;0;2895
312;4.0;0;11;0;-1;1;1;16.3333;0.412246;108.25005;0.0690375;686;0;4205
554;3.0;1;7;0;6;0;1;34.4667;0.804913;73.81245;0.163554;834;0;4840
208;2.436802973977695;0;7;0;3;1;1;31.0;0.690667;60.43755;0.18346300000000001;654;0;4656
661;4.0;1;10;0;1;1;1;19.5;0.482942;85.24995;0.08148330000000001;599;0;7058
162;2.0;0;6;0;6;0;1;29.0;0.678038;98.18745;0.15485;841;0;4966
316;4.0;0;11;0;-1;0;1;14.2667;0.357942;82.93755;0.212062;598;0;4067
353;4.0;0;12;0;1;1;1;11.0667;0.280933;95.625;0.172896;703;0;3403
726;1.0;1;12;0;3;1;3;9.7333;0.220333;123.49995;0.316546;701;0;441
654;4.0;1;10;0;1;1;2;22.4667;0.53915;93.8451999116608;0.296037;598;0;5875
599;3.0;1;8;0;2;1;1;25.9667;0.601025;101.0625;0.07277080000000001;964;0;7006
680;2.436802973977695;1;11;0;6;0;1;15.5667;0.393937;96.81255;0.05784580000000001;901;0;6536
447;2.0;1;3;0;4;1;1;22.1667;0.531567;124.6875;0.11756199999999999;750;0;6871
339;2.436802973977695;0;12;0;1;1;2;15.4333;0.393925;124.06245;0.06220830000000001;628;0;3811
512;2.0;1;5;0;6;0;1;27.7;0.642696;109.875;0.198992;869;0;6536
420;1.0;1;2;0;5;1;2;16.3;0.41097100000000003;110.625;0.237567;944;0;3487
248;3.0;0;9;1;1;0;2;26.9333;0.625646;118.56255;0.212696;887;1;3351
1;2.436802973977695;0;1;0;6;0;2;13.7667;0.363625;120.87495;0.160446;755;0;985
648;4.0;1;10;0;2;1;2;17.8667;0.438112;114.25005;0.1903;611;0;6392
313;4.0;0;11;0;-1;1;1;16.0;0.40907899999999997;113.74995;0.06219580000000001;864;0;4109
88;2.0;0;3;0;2;1;1;12.1;0.292908;47.12505;0.226996;829;0;2425
83;2.0;0;3;0;4;1;2;11.4;0.270833;120.87495;0.24378699999999998;861;0;1865
305;4.0;0;11;0;2;1;1;16.0333;0.397088;102.5625;0.135571;675;0;4068
465;2.0;1;4;0;1;1;1;19.5667;0.476638;47.625;0.358196;585;1;5585
488;2.0;1;5;0;3;1;1;22.5667;0.537896;119.56245;0.138058;813;0;6169
615;2.436802973977695;1;9;0;4;1;2;27.8667;0.655329;121.56255;0.142421;598;1;6203
712;4.0;1;12;0;3;1;2;11.9;0.297338;80.74995;0.162937;802;1;5319
541;3.0;1;6;0;0;0;1;29.7333;0.674254;71.87505;0.145525;731;0;6891
510;2.436802973977695;1;5;0;4;1;1;26.2;0.6067;107.50005;0.172896;706;0;6770
157;2.0;0;6;0;1;1;1;27.1333;0.621858;90.0;0.121896;912;0;4548
373;1.0;1;1;0;0;0;1;13.5;0.340258;69.75;0.19154200000000002;969;0;3425
161;2.0;0;6;0;5;1;1;30.2;0.703292;90.75;0.14055399999999998;840;0;4586
314;4.0;0;11;0;-1;1;2;15.2;0.373721;121.99995;0.189067;684;1;2933
179;3.0;0;6;0;2;1;1;29.7667;0.692558;95.12505;0.144283;997;0;4648
716;2.436802973977695;1;12;0;0;0;2;14.5;0.369938;125.8125;0.100742;491;0;3786
398;1.0;1;2;0;4;1;2;15.9667;0.398971;93.8451999116608;0.187187;547;0;3761
229;3.0;0;8;0;3;1;1;28.9333;0.666671;86.31255;0.14366700000000002;905;0;4694
439;1.0;1;3;0;3;1;1;22.9;0.548617;76.06245;0.11506199999999998;887;0;6312
103;2.0;0;4;0;3;1;2;16.5;0.417283;122.87505;0.25061700000000003;694;1;2162
545;3.0;1;6;0;4;1;1;29.9667;0.675512;63.375;0.17165;772;0;6879
596;3.0;1;8;0;6;0;1;27.1333;0.618071;90.49995;0.177867;507;0;7865
315;4.0;0;11;1;-1;0;1;12.9667;0.306817;66.9375;0.314675;617;0;3368
694;4.0;1;11;0;6;0;1;11.1333;0.24874200000000002;93.8451999116608;0.376871;496;0;2277
540;3.0;1;6;0;6;0;1;29.2667;0.652792;80.18745;0.179721;978;1;7458
490;2.0;1;5;0;5;1;1;25.1;0.590917;110.31255;0.162938;476;0;6296
588;3.0;1;8;0;5;1;2;28.6333;0.667942;107.37495;0.238813;733;0;5786
656;4.0;1;10;0;3;1;1;18.2333;0.450108;93.8451999116608;0.101371;492;1;7461
92;2.0;0;4;0;6;0;2;12.6;0.315637;98.0625;0.19714600000000002;672;0;2252
359;1.0;0;12;0;0;0;1;10.9913;0.279961;102.1956;0.155091;989;0;754
496;2.0;1;5;0;4;1;1;20.2333;0.49178299999999997;82.81245;0.31406300000000004;550;0;6572
362;1.0;0;12;0;3;1;1;11.9652;0.279974;75.58695;0.29396100000000003;840;0;2302
254;3.0;0;9;0;0;0;1;26.1333;0.609229;107.0625;0.11505399999999999;1005;0;5046
421;1.0;1;2;0;6;0;1;11.6333;0.255675;59.37495;0.421642;669;0;2732
296;4.0;0;10;0;0;0;1;16.8667;0.422333;111.1875;0.0995125;607;0;4381
639;4.0;1;9;0;0;0;1;21.0667;0.517663;87.49995;0.134958;952;0;6889
146;2.0;0;5;0;4;1;1;28.3333;0.654688;101.625;0.19964200000000001;720;0;4677
197;3.0;0;7;0;6;0;1;27.4667;0.638263;87.75;-1.0;731;0;5923
619;3.0;1;9;0;1;1;1;23.3333;0.565654;75.5625;0.258713;748;0;7525
252;3.0;0;9;0;5;1;2;26.0;0.578946;134.68755;0.12437899999999999;1002;0;3544
241;3.0;0;8;0;1;1;1;25.4667;0.607958;83.18745;0.159825;587;0;4634
357;1.0;0;12;0;5;1;1;14.9333;0.377513;102.9375;0.274246;762;0;2209
185;3.0;0;7;1;1;0;2;29.0667;0.665417;95.68755;0.08147919999999999;749;0;6043
361;1.0;0;12;0;2;1;2;13.0;0.327633;114.375;0.18845;517;0;1162
471;2.0;1;4;0;0;0;1;24.2667;0.573875;76.18755;0.225129;554;0;7132
65;1.0;0;3;0;0;0;2;15.0609;0.366252;142.23915;0.343287;667;0;605
698;4.0;1;11;0;3;1;1;11.8667;0.28976199999999996;75.9375;0.210821;935;1;5260
189;3.0;0;7;0;5;1;2;28.3667;0.6704829999999999;113.68755;0.225129;1015;0;4040
641;4.0;1;10;0;2;1;3;23.6333;0.542333;130.75005;0.104475;499;0;4639
255;3.0;0;9;0;1;1;1;25.7739;0.60213;103.8261;0.088913;532;0;4713
473;2.0;1;4;0;2;1;1;24.3333;0.598487;58.56255;0.273629;633;0;6691
509;2.0;1;5;0;3;1;2;24.8667;0.584612;116.18745;0.102;873;0;5260
67;1.0;0;3;0;2;1;1;11.7;0.3024;63.12495;0.12065;924;0;2133
240;3.0;0;8;0;0;0;1;28.2824;0.6479590000000001;84.26475;0.304659;615;0;4334
71;1.0;0;3;0;6;0;1;13.1667;0.32575;89.18745;0.220775;580;0;2132
485;2.0;1;4;0;0;0;1;18.3333;0.450121;88.06245;0.116908;869;0;6304
652;4.0;1;10;0;6;0;1;15.7333;0.391396;74.18745;0.146142;632;0;7109
721;1.0;1;12;0;5;1;2;13.0667;0.301767;83.50005;0.37438299999999997;881;0;3623
242;3.0;0;8;0;2;1;1;25.5667;0.594704;82.24995;0.12500799999999998;576;1;5204
234;3.0;0;8;0;1;1;1;27.6667;0.638254;70.5;0.27675;990;0;4758
66;1.0;0;3;0;1;1;1;10.4696;0.238461;82.6956;0.341352;981;1;1872
725;1.0;1;12;1;2;0;2;11.6522;0.29446500000000003;93.8451999116608;0.168726;699;0;1013
102;2.0;0;4;0;2;1;2;20.1;0.493054;110.87505;0.274879;813;0;2034
13;1.0;0;1;0;4;1;1;6.6;0.150883;70.56255;0.301;572;1;1406
399;2.436802973977695;1;2;0;5;1;1;12.5333;0.309346;79.00005;0.17849600000000002;860;0;4151
342;4.0;0;12;0;4;1;1;10.6333;0.256938;87.0;0.240058;573;0;3322
713;2.436802973977695;1;12;0;4;1;1;11.8333;0.294188;72.87495;0.174129;676;0;5532
253;3.0;0;9;0;6;0;1;26.4;0.607962;113.0625;0.153608;560;0;5345
184;2.436802973977695;0;7;0;0;0;2;28.6667;0.668575;102.375;0.228858;722;0;4649
214;3.0;0;8;0;2;1;1;31.3333;0.707071;73.6875;0.20585;617;0;4845
272;4.0;0;9;0;4;1;1;24.6667;0.574512;104.87505;0.17288299999999998;920;0;4839
582;3.0;1;8;0;6;0;1;31.7333;0.751267;91.99995;0.257458;606;0;6824
267;4.0;0;9;0;6;0;2;24.2667;0.564412;129.375;0.0783833;968;0;5423
433;1.0;1;3;0;4;1;1;21.1;0.524604;85.125;0.441563;870;0;5382
358;1.0;0;12;0;6;0;1;12.1;0.299242;81.375;0.190304;803;0;1011
97;2.0;0;4;0;4;1;1;17.5;0.433696;90.43755;0.16231199999999998;929;0;3141
363;1.0;0;12;0;4;1;1;9.9333;0.263892;86.12505;0.11941199999999999;728;0;2423
31;2.436802973977695;0;1;0;1;1;2;7.2333;0.18625;90.5625;0.187192;901;0;1501
117;2.0;0;4;0;3;1;2;24.8;0.575142;125.31255;0.3122;849;1;3872
332;4.0;0;11;0;1;1;1;20.1391;0.490122;111.45645;0.142122;637;0;3867
424;1.0;1;2;0;2;1;1;14.3667;0.353525;59.37495;0.193417;595;0;4363
489;2.0;1;5;0;4;1;2;22.4;0.537242;115.24995;0.133696;908;1;6421
428;1.0;1;3;0;6;0;2;16.5667;0.413492;93.1875;0.161079;642;0;4066
406;1.0;1;2;0;5;1;2;11.2333;0.293558;81.0;0.11692899999999999;764;0;3831
193;3.0;0;7;0;2;1;1;31.7667;0.739275;83.87505;0.200254;670;0;4258
415;1.0;1;2;0;0;0;2;11.2;0.265788;77.37495;0.253112;838;0;2689
508;2.0;1;5;0;2;1;2;24.6;0.580825;114.87495;0.11816700000000001;576;0;6073
385;1.0;1;1;0;5;1;2;8.7;0.220958;67.5;0.20275;584;0;3163
498;2.0;1;5;0;6;0;1;22.5667;0.544817;72.06255;0.12313299999999999;813;0;7429
372;2.436802973977695;1;1;0;6;0;1;15.7333;0.390779;79.75005;0.174758;827;0;4521
503;2.0;1;5;0;4;1;1;23.7333;0.572613;78.0;0.229475;882;0;7384
477;2.0;1;4;0;6;0;1;22.8;0.542921;102.43755;0.283587;524;0;6624
20;1.0;0;1;0;4;1;2;10.4667;0.25505;93.8451999116608;0.195904;992;0;1927
440;2.436802973977695;1;3;0;4;1;1;22.3;0.532825;86.93745;0.149883;624;0;6192
55;1.0;0;2;0;4;1;2;11.8261;0.289191;104.60865;0.250496;759;0;1807
587;3.0;1;8;0;4;1;1;30.2333;0.699508;93.06255;0.1561;1006;1;7286
70;1.0;0;3;0;5;1;2;12.6609;0.305;97.43475;0.23296999999999998;487;1;1977
550;3.0;1;7;0;2;1;1;31.2333;0.70265;73.81245;0.126237;790;0;6660
110;2.0;0;4;0;3;1;1;23.8;0.564392;92.12505;0.241925;750;1;3944
243;2.436802973977695;0;8;0;3;1;1;26.2667;0.611121;89.68755;0.08333330000000001;628;0;5058
469;2.0;1;4;0;5;1;1;17.7;0.43180799999999997;61.24995;0.155471;965;0;6398
59;1.0;0;2;0;1;1;2;16.2909;0.400118;93.8451999116608;0.289686;471;1;1446
151;2.0;0;5;0;2;1;1;31.0;0.725383;95.50005;0.111329;843;0;3982
32;1.0;0;2;0;2;1;2;7.687;0.23453000000000002;124.43475;0.053212999999999996;914;0;1360
169;2.0;0;6;0;6;0;1;27.8667;0.643954;100.56255;0.11940799999999999;617;0;5119
517;2.0;1;5;0;4;1;1;27.2;0.631329;73.93755;0.195279;986;0;7338
696;4.0;1;11;0;1;1;1;12.5333;0.33900399999999997;80.31255;0.04665;1025;0;5087
690;4.0;1;11;0;2;1;2;14.9667;0.38066700000000003;102.75;0.082725;796;0;5634
455;2.0;1;3;0;5;1;2;14.8;0.375621;87.12495;0.138067;1016;0;5459
506;2.0;1;5;0;0;0;1;24.8333;0.583967;79.56255;0.254367;783;0;7129
91;2.0;0;4;0;5;1;2;12.0;0.283454;102.9375;0.258708;699;1;2227
260;3.0;0;9;0;6;0;2;19.6667;0.478512;107.74995;0.189675;939;1;4511
317;4.0;0;11;0;-1;0;1;17.6333;0.43055;68.74995;0.281721;829;0;3717
145;2.0;0;5;0;3;1;1;26.4333;0.615542;104.4375;0.15423299999999998;702;0;4978
695;4.0;1;11;0;0;0;1;9.8333;0.257583;70.24995;0.1505;728;0;2424
595;3.0;1;8;0;5;1;1;28.9333;0.2424;85.62495;0.231354;887;0;7148
519;2.0;1;6;0;6;0;1;23.3333;0.566288;82.37505;0.18656199999999998;743;0;8120
427;1.0;1;3;0;5;1;2;14.1333;0.359842;98.56245;0.144904;867;0;3194
515;2.0;1;5;0;2;1;1;28.9;0.672992;102.68745;0.2954;598;1;5743
670;4.0;1;10;0;3;1;2;14.3;0.3611;100.00005;0.166667;747;0;5566
284;4.0;0;10;0;2;1;2;22.6667;0.546096;121.3125;0.143042;800;0;4563
3;2.436802973977695;0;1;0;1;1;1;7.8546;0.189405;65.59095;0.248309;829;0;1349
49;1.0;0;2;0;5;1;1;20.8667;0.511983;77.50005;0.264925;681;0;2927
673;4.0;1;11;0;6;0;2;13.7333;0.323846;73.6875;0.270529;827;0;5138
323;2.436802973977695;0;11;0;6;0;1;13.1667;0.32448299999999997;75.31245;0.224496;1003;0;3663
676;4.0;1;11;0;2;1;1;11.2333;0.281567;85.06245;0.173513;677;0;5686
142;2.436802973977695;0;5;0;0;0;1;24.1667;0.5745;112.43745;0.148008;703;0;4660
211;3.0;0;7;0;6;0;1;32.1667;0.728537;69.87495;0.168537;637;0;4475
437;1.0;1;3;0;1;1;1;18.6667;0.459592;73.37505;0.207713;497;0;5298
12;1.0;0;1;0;3;1;1;6.9091;0.160473;89.93175;0.304627;889;0;1162
598;3.0;1;8;0;1;1;2;25.4333;0.595967;110.12505;0.12997899999999998;611;0;6530
343;4.0;0;12;0;5;1;1;11.6333;0.317542;104.37495;0.08271669999999999;875;0;3620
526;2.0;1;6;0;6;0;1;28.4333;0.648367;65.56245;0.144287;593;0;7498
251;3.0;0;9;0;-1;1;3;25.3565;0.555361;140.93475;0.192748;684;1;1842
435;1.0;1;3;0;6;0;1;11.5;0.277767;52.56255;0.22575;994;1;4118
593;3.0;1;8;0;3;1;1;28.2667;0.654037;92.93745;0.169771;501;0;7347
394;1.0;1;1;0;0;0;1;11.3;0.272721;46.6875;0.24005;836;0;3243
228;3.0;0;8;0;2;1;1;28.0333;0.645837;86.74995;0.23632899999999998;1019;0;4725
708;4.0;1;12;0;6;0;2;15.2667;0.38950799999999997;136.6875;0.101379;620;0;5582
42;1.0;0;2;0;5;1;1;7.5636;0.213509;75.9546;0.10855;946;0;1746
412;1.0;1;2;0;4;1;2;12.6667;0.330162;112.93755;0.091425;632;0;3005
360;1.0;0;12;1;1;0;1;12.8696;0.315535;76.04355;0.239465;465;0;1317
551;3.0;1;7;1;3;0;1;31.5667;0.732337;80.8125;0.13495;702;0;7403
390;1.0;1;1;0;3;1;1;11.7667;0.294821;96.5625;0.161071;465;0;4270
650;4.0;1;10;0;4;1;1;17.4;0.431167;69.49995;0.181596;725;0;7570
566;3.0;1;7;0;4;1;1;30.8;0.714642;90.06255;0.165429;602;0;6591
574;3.0;1;7;0;5;1;1;31.2667;0.734217;89.18745;0.15299200000000002;948;0;6904
266;4.0;0;9;0;5;1;2;24.3667;0.522125;145.875;0.0783667;612;0;2395
627;3.0;1;9;0;2;1;2;24.9333;0.565067;130.875;0.357587;795;0;4073
109;2.0;0;4;0;2;1;2;20.2333;0.48925799999999997;99.87495;0.157971;707;0;3204
612;3.0;1;9;1;1;0;1;28.3;0.661629;118.62495;0.151121;469;0;6034
63;1.0;0;3;0;5;1;2;10.4667;0.255679;91.56255;0.203346;932;1;1944
542;3.0;1;6;0;1;1;1;28.6333;0.654042;75.62505;0.300383;932;1;6779
636;4.0;1;9;0;4;1;2;26.0;0.607975;103.62495;0.13434200000000002;472;0;7393
167;2.0;0;6;0;4;1;2;25.1333;0.595346;103.24995;0.20647100000000002;462;0;3767
259;3.0;0;9;0;5;1;2;18.7667;0.461475;88.56255;0.164183;467;0;4760
87;2.436802973977695;0;3;0;1;1;1;10.5739;0.25757399999999997;45.3261;0.212204;870;0;2028
603;3.0;1;8;0;6;0;2;26.4667;0.618696;106.93755;0.244408;477;0;6053
701;2.436802973977695;1;12;0;6;0;2;11.9333;0.316904;121.00005;0.05970419999999999;602;0;5191
337;4.0;0;12;0;6;0;1;11.9667;0.310604;91.93755;0.0957833;473;0;3614
40;2.436802973977695;0;2;0;3;1;2;5.3913;0.144283;74.21745;0.188839;474;0;1605
518;2.436802973977695;1;6;0;5;1;2;26.1667;0.607962;113.31255;0.23756300000000002;853;1;4127
478;2.0;1;4;0;-1;0;3;15.8667;0.389504;125.31255;0.344546;603;0;1027
396;1.0;1;1;0;2;1;1;15.6;0.381317;62.50005;0.261817;963;0;4509
195;3.0;0;7;0;4;1;1;27.2333;0.635104;71.4375;0.24066700000000002;711;1;5084
268;4.0;0;9;0;0;0;2;25.3667;0.572637;126.75;0.0503792;1030;0;5010
491;2.0;1;5;0;6;0;2;24.8667;0.584608;113.50005;0.15299200000000002;1007;0;6883
278;4.0;0;10;0;3;1;1;21.5333;0.527138;97.18755;0.17725;935;0;4826
724;1.0;1;12;0;1;1;2;9.2522;0.2589;93.8451999116608;0.07723039999999999;1030;1;920
186;3.0;0;7;0;2;1;1;29.8667;0.696338;88.56255;0.12625799999999998;874;0;4665
604;3.0;1;8;0;0;0;2;26.1333;0.595996;126.87495;0.228858;644;0;5255
476;2.0;1;4;0;5;1;1;21.0667;0.515775;104.18745;0.149871;507;0;7290
572;3.0;1;7;0;3;1;1;28.9667;0.654054;67.5;0.1648;789;1;8173
231;3.0;0;8;0;5;1;2;27.4;0.633221;108.43755;0.139308;687;0;4153
280;2.436802973977695;0;10;0;5;1;1;20.4333;0.504404;102.62505;0.0223917;991;0;4985
723;1.0;1;12;0;0;0;1;9.8333;0.259471;77.31255;0.13308299999999998;490;0;1787
95;2.0;0;4;0;2;1;2;16.5667;0.39835;96.31245;0.388067;626;0;1795
56;1.0;0;2;0;5;1;2;14.5739;0.350461;93.8451999116608;0.346539;493;0;1461
632;4.0;1;9;0;0;0;1;21.1667;0.518933;70.06245;0.22325799999999998;888;0;7907
371;1.0;1;1;0;5;1;1;13.3667;0.340267;81.31245;0.167908;559;0;4098
170;2.0;0;6;0;-1;0;2;27.9667;0.645846;100.00005;0.102;1019;0;4744
218;3.0;0;8;0;6;0;2;28.6667;0.676154;93.8451999116608;0.22825;711;0;4294
155;2.0;0;6;0;6;0;1;25.4;0.594696;68.4375;-1.0;624;0;5342
492;2.0;1;5;0;0;0;2;22.5;0.546737;111.0;0.14987899999999998;527;0;6359
672;4.0;1;11;0;5;1;1;14.2;0.356042;78.31245;0.266175;578;0;5847
168;2.0;0;6;0;5;1;1;25.9667;0.600383;110.37495;0.143029;659;1;4844
389;1.0;1;1;0;2;1;1;13.7;0.349108;93.8451999116608;0.123767;866;0;4339
322;4.0;0;11;0;5;1;1;10.9667;0.272721;61.5;0.168533;673;0;3392
333;4.0;0;11;0;2;1;2;18.3333;0.451375;124.62495;0.258092;767;0;2914
126;2.0;0;5;0;5;1;1;19.1667;0.474117;93.8451999116608;0.228246;695;0;4608
504;2.0;1;5;0;5;1;1;22.5667;0.551121;78.49995;0.136817;550;0;7639
101;2.0;0;4;0;1;1;2;23.8261;0.565217;107.5434;0.324474;799;0;3348
456;2.0;1;3;0;6;0;2;16.9667;0.42170799999999997;110.74995;0.25061700000000003;538;0;6235
576;3.0;1;7;0;0;0;1;28.8667;0.667933;93.5625;0.170396;523;0;6597
355;1.0;0;12;0;3;1;2;17.1333;0.428017;128.74995;0.2214;942;0;2660
171;2.0;0;6;0;1;1;2;25.4;0.595346;111.9375;0.155475;1018;0;4010
60;1.0;0;3;0;2;1;1;10.6667;0.263879;80.25;0.216425;971;0;1851
158;2.0;0;6;0;2;1;1;28.3;0.65595;89.68755;0.187808;464;1;4833
308;4.0;0;11;0;5;1;2;16.1333;0.40339200000000003;93.375;0.271779;769;0;4046
302;4.0;0;10;0;6;0;3;10.1667;0.227913;132.375;0.351371;936;0;627
731;1.0;1;12;0;1;1;2;8.6333;0.223487;86.625;0.154846;585;0;2729
432;2.436802973977695;1;3;0;3;1;1;16.1667;0.3851;76.99995;0.345779;490;0;4916
178;3.0;0;6;0;1;1;2;27.3;0.637004;98.74995;0.10758800000000002;819;0;4708
212;3.0;0;7;0;0;0;1;32.2333;0.729796;72.12495;0.16481300000000002;724;0;4302
553;3.0;1;7;0;5;1;1;33.1333;0.752533;67.62495;0.146142;797;0;6207
