"instant";"yr";"temp";"atemp";"season";"cnt"
529;1;26.1333;0.597875;2.0;4972
669;1;12.7273;0.309909;4.0;1096
321;0;13.6667;0.323221;4.0;3053
232;0;27.9;0.648996;3.0;5191
702;1;13.9;0.35920799999999997;4.0;4649
303;0;12.7667;0.321329;4.0;3331
514;1;28.5;0.6793;2.0;6043
501;1;24.4667;0.576404;2.0;5115
401;1;10.6333;0.264521;1.0;2947
341;0;16.4;0.400246;4.0;705
277;0;19.3667;0.472858;4.0;4456
408;1;5.1;0.101658;1.0;1529
682;1;19.4;0.475383;4.0;6269
206;0;29.7333;0.720958;3.0;3840
190;0;29.3333;0.664158;3.0;5336
202;0;32.6;0.826371;3.0;3784
620;1;23.1;0.554292;3.0;7767
100;0;17.0667;0.426737;2.0;2895
312;0;16.3333;0.412246;4.0;4205
554;1;34.4667;0.804913;3.0;4840
208;0;31.0;0.690667;3.0;4656
661;1;19.5;0.482942;4.0;7058
162;0;29.0;0.678038;2.0;4966
316;0;14.2667;0.357942;4.0;4067
353;0;11.0667;0.280933;4.0;3403
726;1;9.7333;0.220333;4.0;441
654;1;22.4667;0.53915;4.0;5875
599;1;25.9667;0.601025;3.0;7006
680;1;15.5667;0.393937;4.0;6536
447;1;22.1667;0.531567;1.0;6871
339;0;15.4333;0.393925;4.0;3811
512;1;27.7;0.642696;2.0;6536
420;1;16.3;0.41097100000000003;1.0;3487
248;0;26.9333;0.625646;3.0;3351
1;0;13.7667;0.363625;1.0;985
648;1;17.8667;0.438112;4.0;6392
313;0;16.0;0.40907899999999997;4.0;4109
88;0;12.1;0.292908;1.0;2425
83;0;11.4;0.270833;1.0;1865
305;0;16.0333;0.397088;4.0;4068
465;1;19.5667;0.476638;2.0;5585
488;1;22.5667;0.537896;2.0;6169
615;1;27.8667;0.655329;3.0;6203
712;1;11.9;0.297338;4.0;5319
541;1;29.7333;0.674254;2.0;6891
510;1;26.2;0.6067;2.0;6770
157;0;27.1333;0.621858;2.0;4548
373;1;13.5;0.340258;1.0;3425
161;0;30.2;0.703292;2.0;4586
314;0;15.2;0.373721;4.0;2933
179;0;29.7667;0.692558;2.0;4648
716;1;14.5;0.369938;4.0;3786
398;1;15.9667;0.398971;1.0;3761
229;0;28.9333;0.666671;3.0;4694
439;1;22.9;0.548617;1.0;6312
103;0;16.5;0.417283;2.0;2162
545;1;29.9667;0.675512;2.0;6879
596;1;27.1333;0.618071;3.0;7865
315;0;12.9667;0.306817;4.0;3368
694;1;11.1333;0.24874200000000002;4.0;2277
540;1;29.2667;0.652792;2.0;7458
490;1;25.1;0.590917;2.0;6296
588;1;28.6333;0.667942;3.0;5786
656;1;18.2333;0.450108;4.0;7461
92;0;12.6;0.315637;2.0;2252
359;0;10.9913;0.279961;4.0;754
496;1;20.2333;0.49178299999999997;2.0;6572
362;0;11.9652;0.279974;4.0;2302
254;0;26.1333;0.609229;3.0;5046
421;1;11.6333;0.255675;1.0;2732
296;0;16.8667;0.422333;4.0;4381
639;1;21.0667;0.517663;3.0;6889
146;0;28.3333;0.654688;2.0;4677
197;0;27.4667;0.638263;3.0;5923
619;1;23.3333;0.565654;3.0;7525
252;0;26.0;0.578946;3.0;3544
241;0;25.4667;0.607958;3.0;4634
357;0;14.9333;0.377513;4.0;2209
185;0;29.0667;0.665417;3.0;6043
361;0;13.0;0.327633;4.0;1162
471;1;24.2667;0.573875;2.0;7132
65;0;15.0609;0.366252;1.0;605
698;1;11.8667;0.28976199999999996;4.0;5260
189;0;28.3667;0.6704829999999999;3.0;4040
641;1;23.6333;0.542333;4.0;4639
255;0;25.7739;0.60213;3.0;4713
473;1;24.3333;0.598487;2.0;6691
509;1;24.8667;0.584612;2.0;5260
67;0;11.7;0.3024;1.0;2133
240;0;28.2824;0.6479590000000001;3.0;4334
71;0;13.1667;0.32575;1.0;2132
485;1;18.3333;0.450121;2.0;6304
652;1;15.7333;0.391396;4.0;7109
721;1;13.0667;0.301767;4.0;3623
242;0;25.5667;0.594704;3.0;5204
234;0;27.6667;0.638254;3.0;4758
66;0;10.4696;0.238461;1.0;1872
725;1;11.6522;0.29446500000000003;4.0;1013
102;0;20.1;0.493054;2.0;2034
13;0;6.6;0.150883;1.0;1406
399;1;12.5333;0.309346;1.0;4151
342;0;10.6333;0.256938;4.0;3322
713;1;11.8333;0.294188;4.0;5532
253;0;26.4;0.607962;3.0;5345
184;0;28.6667;0.668575;3.0;4649
214;0;31.3333;0.707071;3.0;4845
272;0;24.6667;0.574512;3.0;4839
582;1;31.7333;0.751267;3.0;6824
267;0;24.2667;0.564412;3.0;5423
433;1;21.1;0.524604;1.0;5382
358;0;12.1;0.299242;4.0;1011
97;0;17.5;0.433696;2.0;3141
363;0;9.9333;0.263892;4.0;2423
31;0;7.2333;0.18625;1.0;1501
117;0;24.8;0.575142;2.0;3872
332;0;20.1391;0.490122;4.0;3867
424;1;14.3667;0.353525;1.0;4363
489;1;22.4;0.537242;2.0;6421
428;1;16.5667;0.413492;1.0;4066
406;1;11.2333;0.293558;1.0;3831
193;0;31.7667;0.739275;3.0;4258
415;1;11.2;0.265788;1.0;2689
508;1;24.6;0.580825;2.0;6073
385;1;8.7;0.220958;1.0;3163
498;1;22.5667;0.544817;2.0;7429
372;1;15.7333;0.390779;1.0;4521
503;1;23.7333;0.572613;2.0;7384
477;1;22.8;0.542921;2.0;6624
20;0;10.4667;0.25505;1.0;1927
440;1;22.3;0.532825;1.0;6192
55;0;11.8261;0.289191;1.0;1807
587;1;30.2333;0.699508;3.0;7286
70;0;12.6609;0.305;1.0;1977
550;1;31.2333;0.70265;3.0;6660
110;0;23.8;0.564392;2.0;3944
243;0;26.2667;0.611121;3.0;5058
469;1;17.7;0.43180799999999997;2.0;6398
59;0;16.2909;0.400118;1.0;1446
151;0;31.0;0.725383;2.0;3982
32;0;7.687;0.23453000000000002;1.0;1360
169;0;27.8667;0.643954;2.0;5119
517;1;27.2;0.631329;2.0;7338
696;1;12.5333;0.33900399999999997;4.0;5087
690;1;14.9667;0.38066700000000003;4.0;5634
455;1;14.8;0.375621;1.0;5459
506;1;24.8333;0.583967;2.0;7129
91;0;12.0;0.283454;2.0;2227
260;0;19.6667;0.478512;3.0;4511
317;0;17.6333;0.43055;4.0;3717
145;0;26.4333;0.615542;2.0;4978
695;1;9.8333;0.257583;4.0;2424
595;1;28.9333;0.2424;3.0;7148
519;1;23.3333;0.566288;2.0;8120
427;1;14.1333;0.359842;1.0;3194
515;1;28.9;0.672992;2.0;5743
670;1;14.3;0.3611;4.0;5566
284;0;22.6667;0.546096;4.0;4563
3;0;7.8546;0.189405;1.0;1349
49;0;20.8667;0.511983;1.0;2927
673;1;13.7333;0.323846;4.0;5138
323;0;13.1667;0.32448299999999997;4.0;3663
676;1;11.2333;0.281567;4.0;5686
142;0;24.1667;0.5745;2.0;4660
211;0;32.1667;0.728537;3.0;4475
437;1;18.6667;0.459592;1.0;5298
12;0;6.9091;0.160473;1.0;1162
598;1;25.4333;0.595967;3.0;6530
343;0;11.6333;0.317542;4.0;3620
526;1;28.4333;0.648367;2.0;7498
251;0;25.3565;0.555361;3.0;1842
435;1;11.5;0.277767;1.0;4118
593;1;28.2667;0.654037;3.0;7347
394;1;11.3;0.272721;1.0;3243
228;0;28.0333;0.645837;3.0;4725
708;1;15.2667;0.38950799999999997;4.0;5582
42;0;7.5636;0.213509;1.0;1746
412;1;12.6667;0.330162;1.0;3005
360;0;12.8696;0.315535;4.0;1317
551;1;31.5667;0.732337;3.0;7403
390;1;11.7667;0.294821;1.0;4270
650;1;17.4;0.431167;4.0;7570
566;1;30.8;0.714642;3.0;6591
574;1;31.2667;0.734217;3.0;6904
266;0;24.3667;0.522125;3.0;2395
627;1;24.9333;0.565067;3.0;4073
109;0;20.2333;0.48925799999999997;2.0;3204
612;1;28.3;0.661629;3.0;6034
63;0;10.4667;0.255679;1.0;1944
542;1;28.6333;0.654042;2.0;6779
636;1;26.0;0.607975;3.0;7393
167;0;25.1333;0.595346;2.0;3767
259;0;18.7667;0.461475;3.0;4760
87;0;10.5739;0.25757399999999997;1.0;2028
603;1;26.4667;0.618696;3.0;6053
701;1;11.9333;0.316904;4.0;5191
337;0;11.9667;0.310604;4.0;3614
40;0;5.3913;0.144283;1.0;1605
518;1;26.1667;0.607962;2.0;4127
478;1;15.8667;0.389504;2.0;1027
396;1;15.6;0.381317;1.0;4509
195;0;27.2333;0.635104;3.0;5084
268;0;25.3667;0.572637;3.0;5010
491;1;24.8667;0.584608;2.0;6883
278;0;21.5333;0.527138;4.0;4826
724;1;9.2522;0.2589;4.0;920
186;0;29.8667;0.696338;3.0;4665
604;1;26.1333;0.595996;3.0;5255
476;1;21.0667;0.515775;2.0;7290
572;1;28.9667;0.654054;3.0;8173
231;0;27.4;0.633221;3.0;4153
280;0;20.4333;0.504404;4.0;4985
723;1;9.8333;0.259471;4.0;1787
95;0;16.5667;0.39835;2.0;1795
56;0;14.5739;0.350461;1.0;1461
632;1;21.1667;0.518933;3.0;7907
371;1;13.3667;0.340267;1.0;4098
170;0;27.9667;0.645846;2.0;4744
218;0;28.6667;0.676154;3.0;4294
155;0;25.4;0.594696;2.0;5342
492;1;22.5;0.546737;2.0;6359
672;1;14.2;0.356042;4.0;5847
168;0;25.9667;0.600383;2.0;4844
389;1;13.7;0.349108;1.0;4339
322;0;10.9667;0.272721;4.0;3392
333;0;18.3333;0.451375;4.0;2914
126;0;19.1667;0.474117;2.0;4608
504;1;22.5667;0.551121;2.0;7639
101;0;23.8261;0.565217;2.0;3348
456;1;16.9667;0.42170799999999997;1.0;6235
576;1;28.8667;0.667933;3.0;6597
355;0;17.1333;0.428017;4.0;2660
171;0;25.4;0.595346;2.0;4010
60;0;10.6667;0.263879;1.0;1851
158;0;28.3;0.65595;2.0;4833
308;0;16.1333;0.40339200000000003;4.0;4046
302;0;10.1667;0.227913;4.0;627
731;1;8.6333;0.223487;4.0;2729
432;1;16.1667;0.3851;1.0;4916
178;0;27.3;0.637004;2.0;4708
212;0;32.2333;0.729796;3.0;4302
553;1;33.1333;0.752533;3.0;6207
84;0;10.5667;0.256312;1.0;2210
631;1;26.0;0.610488;3.0;53021
728;1;10.1333;0.255046;4.0;3095
172;0;27.2333;0.637646;2.0;4835
618;1;24.4;0.578925;3.0;8227
223;0;28.7;0.651521;3.0;4792
2;0;14.5391;0.35373899999999997;1.0;801
688;1;13.7;0.337746;4.0;4669
51;0;11.4087;0.27733;1.0;1812
147;0;27.2667;0.637008;2.0;4679
247;0;28.3667;0.665429;3.0;4940
570;1;29.6667;0.690017;3.0;6966
10;0;6.0333;0.15088800000000002;1.0;1321
217;0;28.4333;0.656567;3.0;4866
684;1;11.5667;0.281563;4.0;5495
75;0;14.6087;0.36693000000000003;1.0;2192
610;1;30.1333;0.702654;3.0;6140
544;1;27.9;0.640792;2.0;7335
495;1;23.0;0.553025;2.0;4717
443;1;18.9;0.46399999999999997;1.0;5892
561;1;28.1333;0.666042;3.0;6969
692;1;13.6;0.350371;4.0;2425
494;1;23.2667;0.557471;2.0;5728
99;0;13.7;0.34152899999999997;2.0;2455
54;0;8.8696;0.24571700000000002;1.0;1917
250;0;23.9667;0.544229;3.0;1996
131;0;21.7;0.5284;2.0;4182
500;1;22.9333;0.5499;2.0;2843
522;1;21.6333;0.525892;2.0;7001
538;1;32.2333;0.752542;2.0;5905
191;0;29.9;0.690025;3.0;4881
238;0;28.0;0.659733;3.0;4661
80;0;17.2174;0.409735;1.0;2077
47;0;12.7304;0.3162;1.0;2115
6;0;8.1739;0.23320900000000003;1.0;1606
414;1;13.8667;0.355425;1.0;4318
384;1;7.6;0.190038;1.0;3292
166;0;25.0667;0.587754;2.0;5180
375;1;12.3478;0.318826;1.0;3598
282;0;21.6333;0.523983;4.0;5511
224;0;28.3333;0.654042;3.0;4905
521;1;23.9;0.578283;2.0;6998
293;0;19.0333;0.466525;4.0;4195
635;1;25.4;0.5966130000000001;3.0;7733
215;0;29.2667;0.679937;3.0;3574
607;1;27.4;0.635733;3.0;7697
177;0;27.2;0.637629;2.0;5305
36;0;9.3333;0.243058;1.0;1005
438;1;22.6;0.542929;1.0;5847
461;1;17.4;0.431163;2.0;6457
311;0;15.8;0.400871;4.0;4035
379;1;7.2;0.183087;1.0;2493
391;1;13.6667;0.35605;1.0;4075
664;1;22.0;0.529688;4.0;7359
710;1;17.4333;0.435575;4.0;5170
563;1;30.5333;0.724125;3.0;6830
678;1;14.087;0.341891;4.0;5315
457;1;17.0333;0.41728699999999996;2.0;6041
625;1;23.2;0.563125;3.0;7333
616;1;28.1333;0.657204;3.0;7504
410;1;12.7667;0.333946;1.0;3922
130;0;21.3;0.522721;2.0;4803
319;0;21.2;0.507579;4.0;4195
225;0;27.4333;0.645858;3.0;4150
5;0;9.0783;0.22926999999999997;1.0;1600
150;0;29.3333;0.671092;2.0;4098
727;1;10.1667;0.226642;4.0;2114
160;0;32.3333;0.757579;2.0;3915
207;0;30.8667;0.696979;3.0;4590
479;1;12.8667;0.301125;2.0;3214
381;1;7.6;0.190663;1.0;2298
374;1;8.9667;0.247479;1.0;2376
118;0;24.7;0.578929;2.0;4058
505;1;24.0;0.566908;2.0;42945
73;0;13.0087;0.332;1.0;2046
62;0;7.9333;0.200133;1.0;1685
530;1;26.2333;0.611117;2.0;7421
33;0;10.4;0.254417;1.0;1526
57;0;11.3;0.282192;1.0;1969
405;1;10.6;0.261988;1.0;3830
400;1;10.5667;0.272725;1.0;2832
392;1;17.0;0.415383;1.0;3456
613;1;29.0333;0.686888;3.0;6864
29;0;7.8609;0.212126;1.0;1098
475;1;19.9333;0.493046;2.0;6565
307;0;16.3333;0.405921;4.0;3974
340;0;18.5;0.4564;4.0;2594
114;0;23.2667;0.551763;2.0;4191
674;1;13.0333;0.329538;4.0;5107
454;1;19.7667;0.482304;1.0;6133
165;0;24.1667;0.591546;2.0;4891
300;0;18.8;0.457046;4.0;2659
532;1;25.5667;0.599754;2.0;7665
560;1;29.2667;0.667933;3.0;7499
467;1;13.9478;0.33727399999999996;2.0;4862
567;1;26.6333;0.613025;3.0;5870
134;0;20.8333;0.500629;2.0;3409
106;0;17.2333;0.425492;2.0;795
585;1;29.4333;0.697621;3.0;7273
325;0;17.9;0.445062;4.0;2765
58;0;13.7391;0.351109;1.0;2402
263;0;22.4667;0.532217;3.0;3641
386;1;6.9333;0.174875;1.0;1301
153;0;28.6;0.643942;2.0;4968
451;1;17.8333;0.43875;1.0;5558
537;1;31.3;0.720975;2.0;6211
419;1;18.1667;0.444446;1.0;5062
152;0;30.5667;0.720967;2.0;3974
445;1;22.4333;0.538533;1.0;6093
275;0;14.2667;0.345317;4.0;2918
668;1;17.6;0.4394;4.0;22
644;1;24.6;0.580187;4.0;8156
127;0;20.8;0.512621;2.0;4714
376;1;10.9667;0.282821;1.0;2177
236;0;26.9333;0.630692;3.0;5130
573;1;31.0667;0.739263;3.0;6861
645;1;22.1667;0.538521;4.0;7965
370;1;10.6333;0.278412;1.0;3272
125;0;18.3667;0.441917;2.0;4433
21;0;7.1;0.157833;1.0;1543
351;0;10.3333;0.249371;4.0;2739
659;1;19.3667;0.472842;4.0;8090
345;0;8.8333;0.253154;4.0;2743
528;1;28.8333;0.659721;2.0;6664
493;1;21.5;0.527142;2.0;6273
270;0;25.4667;0.574525;3.0;4120
82;0;13.8783;0.337939;1.0;2121
642;1;26.3;0.599133;4.0;7572
611;1;27.8667;0.649;3.0;5810
720;1;13.2;0.335217;4.0;4128
525;1;25.9667;0.597862;2.0;7736
338;0;13.2333;0.3491;4.0;3485
715;1;12.9667;0.338383;4.0;5047
402;1;11.3044;0.296426;1.0;3784
43;0;8.9;0.232954;1.0;1472
448;1;24.0667;0.570067;1.0;32043
46;0;10.6435;0.254274;1.0;1815
156;0;25.9333;0.616804;2.0;4906
149;0;26.7;0.61555;2.0;4788
199;0;29.8667;0.703925;3.0;4458
123;0;24.6667;0.582079;2.0;4451
520;1;24.1;0.575133;2.0;7641
294;0;17.1;0.42359600000000003;4.0;4304
364;0;12.4667;0.318812;4.0;2999
289;0;20.4667;0.503154;4.0;5041
111;0;18.3667;0.453892;2.0;4189
671;1;14.6333;0.369942;4.0;5986
382;1;14.9217;0.36427800000000005;1.0;2935
558;1;28.6667;0.650271;3.0;7264
507;1;23.9333;0.565667;2.0;4359
539;1;31.1;0.724121;2.0;5823
329;0;15.0;0.380671;4.0;2792
403;1;14.1667;0.361104;1.0;4375
138;0;22.0;0.527158;2.0;3855
297;0;18.5333;0.457067;4.0;4187
28;0;8.1391;0.22331700000000002;1.0;1167
667;1;19.1;0.467771;4.0;4459
122;0;21.9667;0.532833;2.0;4401
37;0;11.4333;0.291671;1.0;1623
292;0;21.6696;0.513848;4.0;2424
535;1;22.7333;0.544842;2.0;5099
468;1;15.9;0.387604;2.0;5409
164;0;25.4;0.601654;2.0;5020
96;0;15.6333;0.387608;2.0;2808
482;1;19.9333;0.483583;2.0;5026
205;0;33.2;0.794829;3.0;3606
174;0;29.1333;0.693833;2.0;4790
589;1;27.7;0.638267;3.0;6299
230;0;28.4667;0.662258;3.0;3805
649;1;20.5667;0.503142;4.0;7691
265;0;25.1333;0.554963;3.0;4795
79;0;13.3;0.32575;1.0;2471
434;1;16.4333;0.397083;1.0;4569
393;1;12.6333;0.326379;1.0;4023
143;0;25.2667;0.590296;2.0;4274
543;1;25.2333;0.594704;2.0;7442
26;0;8.7;0.2036;1.0;506
112;0;13.4667;0.321954;2.0;1683
41;0;5.7739;0.14954800000000001;1.0;1538
719;1;13.3;0.34216199999999997;4.0;5267
429;1;13.0333;0.303021;1.0;3423
600;1;26.7;0.621854;3.0;7375
663;1;23.5;0.558721;4.0;7693
463;1;17.5;0.426129;2.0;6857
104;0;18.7;0.462742;2.0;3267
395;1;10.7667;0.262625;1.0;3624
226;0;27.0667;0.624388;3.0;3820
309;0;13.0667;0.323854;4.0;3926
624;1;24.3333;0.585867;3.0;35932
256;0;26.0333;0.603554;3.0;4763
679;1;14.4667;0.35541300000000003;4.0;5992
647;1;15.3333;0.387608;4.0;5478
423;1;14.6667;0.357954;1.0;4322
622;1;24.5;0.579558;3.0;7804
662;1;21.7667;0.530304;4.0;7466
629;1;21.8667;0.532192;3.0;7720
707;1;12.8333;0.32195799999999997;4.0;5008
601;1;27.8333;0.637008;3.0;7765
486;1;18.5667;0.457696;2.0;5572
140;0;21.4667;0.529042;2.0;4917
187;0;28.8;0.685633;3.0;4629
330;0;15.0333;0.385087;4.0;3068
249;0;21.6;0.5152;3.0;2710
98;0;13.4333;0.324479;2.0;1471
584;1;30.1;0.710246;3.0;7013
115;0;24.2667;0.5745;2.0;4073
288;0;20.2667;0.498725;4.0;5217
48;0;17.4333;0.428658;1.0;2475
617;1;26.3667;0.611121;3.0;5976
655;1;18.7333;0.460846;4.0;7534
50;0;15.9667;0.391404;1.0;1635
52;0;12.1333;0.284075;1.0;1107
404;1;10.2667;0.266421;1.0;2802
418;1;15.8333;0.392667;1.0;4773
258;0;23.1;0.553671;3.0;3659
262;0;21.9667;0.529675;3.0;4539
581;1;30.6333;0.722867;3.0;7175
623;1;25.3333;0.594083;3.0;8009
279;0;19.7667;0.480425;4.0;4765
348;0;12.7;0.338362;4.0;3740
264;0;23.8;0.5505329999999999;3.0;4352
536;1;27.5333;0.654692;2.0;6825
328;0;14.9333;0.372471;4.0;1495
68;0;11.8333;0.286608;1.0;1891
107;0;18.2667;0.445696;2.0;3744
430;1;9.7333;0.241171;1.0;3333
334;0;13.0;0.311221;4.0;3613
575;1;30.2333;0.697604;3.0;6685
176;0;27.8;0.643313;2.0;5202
219;0;29.7;0.715292;3.0;3785
19;0;11.687;0.29842199999999997;1.0;1650
93;0;15.1333;0.378767;2.0;3249
686;1;13.8;0.347204;4.0;5698
76;0;16.6;0.410333;1.0;2744
72;0;15.3739;0.380091;1.0;2417
523;1;22.1667;0.542292;2.0;7055
534;1;23.7;0.571975;2.0;6978
237;0;27.3667;0.645854;3.0;3542
192;0;30.5;0.729804;3.0;4086
480;1;16.5333;0.405283;2.0;5633
356;0;16.9333;0.426121;4.0;3068
621;1;23.9667;0.570075;3.0;7870
568;1;23.8333;0.549912;3.0;4459
295;0;16.9;0.425492;4.0;4308
324;0;18.5333;0.457058;4.0;3520
460;1;21.6667;0.53345;2.0;6436
449;1;20.1;0.48673299999999997;1.0;3372
318;0;21.2;0.524612;4.0;4486
331;0;18.3667;0.4558;4.0;3071
17;0;7.0333;0.176771;1.0;1000
22;0;2.3652;0.0790696;1.0;981
677;1;11.8333;0.274621;4.0;5035
380;1;6.6667;0.161625;1.0;2311
222;0;30.6667;0.684983;3.0;4780
39;0;8.8333;0.198246;1.0;1530
182;0;28.9;0.652162;3.0;5362
235;0;25.6333;0.606067;3.0;5895
630;1;23.9667;0.571971;3.0;8167
344;0;11.0;0.266412;4.0;3190
516;1;26.2667;0.611129;2.0;6855
128;0;21.1333;0.518933;2.0;4333
326;0;16.6667;0.421696;4.0;1607
327;0;17.6333;0.430537;4.0;2566
286;0;23.5667;0.551804;4.0;2913
470;1;19.8;0.487996;2.0;7460
15;0;9.3333;0.248112;1.0;1248
25;0;8.9391;0.234526;1.0;1985
216;0;28.4;0.664788;3.0;4576
660;1;18.5667;0.456429;4.0;6824
513;1;27.6;0.641425;2.0;6591
691;1;14.1333;0.364892;4.0;5146
614;1;29.4667;0.708983;3.0;7112
137;0;22.4667;0.538529;2.0;4123
136;0;23.1;0.550512;2.0;3958
383;1;12.1333;0.275254;1.0;3376
697;1;11.6667;0.281558;4.0;3959
729;1;10.1333;0.2424;4.0;1341
301;0;13.2333;0.318812;4.0;3747
124;0;16.5667;0.40465;2.0;2633
148;0;26.2333;0.612379;2.0;4758
306;0;15.1;0.390133;4.0;4186
546;1;33.3667;0.786613;2.0;5463
23;0;3.8609;0.09883910000000001;1.0;986
675;1;12.7667;0.308075;4.0;5259
281;0;20.8667;0.513242;4.0;5409
633;1;20.5667;0.502513;3.0;7436
45;0;16.6;0.39835;1.0;1913
139;0;21.2333;0.510742;2.0;4575
77;0;21.6;0.5270090000000001;1.0;3239
108;0;20.5;0.503146;2.0;3429
204;0;33.9667;0.804287;3.0;3285
245;0;25.7333;0.604808;3.0;4727
411;1;13.9333;0.35162899999999997;1.0;4169
444;1;21.8;0.532821;1.0;6153
369;1;4.3;0.11933699999999998;1.0;2368
717;1;15.7333;0.4015;4.0;4585
462;1;16.1333;0.39076700000000003;2.0;6460
336;0;12.5667;0.331433;4.0;3940
78;0;18.9;0.466525;1.0;3117
81;0;17.6667;0.44064200000000003;1.0;2703
377;1;15.3;0.381938;1.0;4097
299;0;19.3667;0.472846;4.0;3894
497;1;21.3333;0.520833;2.0;7030
