"instant";"season";"temp";"atemp";"cnt"
615;2.436802973977695;27.8667;0.655329;6203
712;4.0;11.9;0.297338;5319
541;3.0;29.7333;0.674254;6891
510;2.436802973977695;26.2;0.6067;6770
157;2.0;27.1333;0.621858;4548
373;1.0;13.5;0.340258;3425
161;2.0;30.2;0.703292;4586
314;4.0;15.2;0.373721;2933
179;3.0;29.7667;0.692558;4648
716;2.436802973977695;14.5;0.369938;3786
398;1.0;15.9667;0.398971;3761
229;3.0;28.9333;0.666671;4694
439;1.0;22.9;0.548617;6312
103;2.0;16.5;0.417283;2162
545;3.0;29.9667;0.675512;6879
596;3.0;27.1333;0.618071;7865
315;4.0;12.9667;0.306817;3368
694;4.0;11.1333;0.24874200000000002;2277
540;3.0;29.2667;0.652792;7458
490;2.0;25.1;0.590917;6296
588;3.0;28.6333;0.667942;5786
656;4.0;18.2333;0.450108;7461
92;2.0;12.6;0.315637;2252
359;1.0;10.9913;0.279961;754
496;2.0;20.2333;0.49178299999999997;6572
362;1.0;11.9652;0.279974;2302
254;3.0;26.1333;0.609229;5046
421;1.0;11.6333;0.255675;2732
296;4.0;16.8667;0.422333;4381
639;4.0;21.0667;0.517663;6889
146;2.0;28.3333;0.654688;4677
197;3.0;27.4667;0.638263;5923
619;3.0;23.3333;0.565654;7525
252;3.0;26.0;0.578946;3544
241;3.0;25.4667;0.607958;4634
357;1.0;14.9333;0.377513;2209
185;3.0;29.0667;0.665417;6043
361;1.0;13.0;0.327633;1162
471;2.0;24.2667;0.573875;7132
65;1.0;15.0609;0.366252;605
698;4.0;11.8667;0.28976199999999996;5260
189;3.0;28.3667;0.6704829999999999;4040
641;4.0;23.6333;0.542333;4639
255;3.0;25.7739;0.60213;4713
473;2.0;24.3333;0.598487;6691
509;2.0;24.8667;0.584612;5260
67;1.0;11.7;0.3024;2133
240;3.0;28.2824;0.6479590000000001;4334
71;1.0;13.1667;0.32575;2132
485;2.0;18.3333;0.450121;6304
652;4.0;15.7333;0.391396;7109
721;1.0;13.0667;0.301767;3623
242;3.0;25.5667;0.594704;5204
234;3.0;27.6667;0.638254;4758
66;1.0;10.4696;0.238461;1872
725;1.0;11.6522;0.29446500000000003;1013
102;2.0;20.1;0.493054;2034
13;1.0;6.6;0.150883;1406
399;2.436802973977695;12.5333;0.309346;4151
342;4.0;10.6333;0.256938;3322
713;2.436802973977695;11.8333;0.294188;5532
253;3.0;26.4;0.607962;5345
184;2.436802973977695;28.6667;0.668575;4649
214;3.0;31.3333;0.707071;4845
272;4.0;24.6667;0.574512;4839
582;3.0;31.7333;0.751267;6824
267;4.0;24.2667;0.564412;5423
433;1.0;21.1;0.524604;5382
358;1.0;12.1;0.299242;1011
97;2.0;17.5;0.433696;3141
363;1.0;9.9333;0.263892;2423
31;2.436802973977695;7.2333;0.18625;1501
117;2.0;24.8;0.575142;3872
332;4.0;20.1391;0.490122;3867
424;1.0;14.3667;0.353525;4363
489;2.0;22.4;0.537242;6421
428;1.0;16.5667;0.413492;4066
406;1.0;11.2333;0.293558;3831
193;3.0;31.7667;0.739275;4258
415;1.0;11.2;0.265788;2689
508;2.0;24.6;0.580825;6073
385;1.0;8.7;0.220958;3163
498;2.0;22.5667;0.544817;7429
372;2.436802973977695;15.7333;0.390779;4521
503;2.0;23.7333;0.572613;7384
477;2.0;22.8;0.542921;6624
20;1.0;10.4667;0.25505;1927
440;2.436802973977695;22.3;0.532825;6192
55;1.0;11.8261;0.289191;1807
587;3.0;30.2333;0.699508;7286
70;1.0;12.6609;0.305;1977
550;3.0;31.2333;0.70265;6660
110;2.0;23.8;0.564392;3944
243;2.436802973977695;26.2667;0.611121;5058
469;2.0;17.7;0.43180799999999997;6398
59;1.0;16.2909;0.400118;1446
151;2.0;31.0;0.725383;3982
32;1.0;7.687;0.23453000000000002;1360
169;2.0;27.8667;0.643954;5119
517;2.0;27.2;0.631329;7338
696;4.0;12.5333;0.33900399999999997;5087
690;4.0;14.9667;0.38066700000000003;5634
455;2.0;14.8;0.375621;5459
506;2.0;24.8333;0.583967;7129
91;2.0;12.0;0.283454;2227
260;3.0;19.6667;0.478512;4511
317;4.0;17.6333;0.43055;3717
145;2.0;26.4333;0.615542;4978
695;4.0;9.8333;0.257583;2424
595;3.0;28.9333;0.2424;7148
519;2.0;23.3333;0.566288;8120
427;1.0;14.1333;0.359842;3194
515;2.0;28.9;0.672992;5743
670;4.0;14.3;0.3611;5566
284;4.0;22.6667;0.546096;4563
3;2.436802973977695;7.8546;0.189405;1349
49;1.0;20.8667;0.511983;2927
673;4.0;13.7333;0.323846;5138
323;2.436802973977695;13.1667;0.32448299999999997;3663
676;4.0;11.2333;0.281567;5686
142;2.436802973977695;24.1667;0.5745;4660
211;3.0;32.1667;0.728537;4475
437;1.0;18.6667;0.459592;5298
12;1.0;6.9091;0.160473;1162
598;3.0;25.4333;0.595967;6530
343;4.0;11.6333;0.317542;3620
526;2.0;28.4333;0.648367;7498
251;3.0;25.3565;0.555361;1842
435;1.0;11.5;0.277767;4118
593;3.0;28.2667;0.654037;7347
394;1.0;11.3;0.272721;3243
228;3.0;28.0333;0.645837;4725
708;4.0;15.2667;0.38950799999999997;5582
42;1.0;7.5636;0.213509;1746
412;1.0;12.6667;0.330162;3005
360;1.0;12.8696;0.315535;1317
551;3.0;31.5667;0.732337;7403
390;1.0;11.7667;0.294821;4270
650;4.0;17.4;0.431167;7570
566;3.0;30.8;0.714642;6591
574;3.0;31.2667;0.734217;6904
266;4.0;24.3667;0.522125;2395
627;3.0;24.9333;0.565067;4073
109;2.0;20.2333;0.48925799999999997;3204
612;3.0;28.3;0.661629;6034
63;1.0;10.4667;0.255679;1944
542;3.0;28.6333;0.654042;6779
636;4.0;26.0;0.607975;7393
167;2.0;25.1333;0.595346;3767
259;3.0;18.7667;0.461475;4760
87;2.436802973977695;10.5739;0.25757399999999997;2028
603;3.0;26.4667;0.618696;6053
701;2.436802973977695;11.9333;0.316904;5191
337;4.0;11.9667;0.310604;3614
40;2.436802973977695;5.3913;0.144283;1605
518;2.436802973977695;26.1667;0.607962;4127
478;2.0;15.8667;0.389504;1027
396;1.0;15.6;0.381317;4509
195;3.0;27.2333;0.635104;5084
268;4.0;25.3667;0.572637;5010
491;2.0;24.8667;0.584608;6883
278;4.0;21.5333;0.527138;4826
724;1.0;9.2522;0.2589;920
186;3.0;29.8667;0.696338;4665
604;3.0;26.1333;0.595996;5255
476;2.0;21.0667;0.515775;7290
572;3.0;28.9667;0.654054;8173
231;3.0;27.4;0.633221;4153
280;2.436802973977695;20.4333;0.504404;4985
723;1.0;9.8333;0.259471;1787
95;2.0;16.5667;0.39835;1795
56;1.0;14.5739;0.350461;1461
632;4.0;21.1667;0.518933;7907
371;1.0;13.3667;0.340267;4098
170;2.0;27.9667;0.645846;4744
218;3.0;28.6667;0.676154;4294
155;2.0;25.4;0.594696;5342
492;2.0;22.5;0.546737;6359
672;4.0;14.2;0.356042;5847
168;2.0;25.9667;0.600383;4844
389;1.0;13.7;0.349108;4339
322;4.0;10.9667;0.272721;3392
333;4.0;18.3333;0.451375;2914
126;2.0;19.1667;0.474117;4608
504;2.0;22.5667;0.551121;7639
101;2.0;23.8261;0.565217;3348
456;2.0;16.9667;0.42170799999999997;6235
576;3.0;28.8667;0.667933;6597
355;1.0;17.1333;0.428017;2660
171;2.0;25.4;0.595346;4010
60;1.0;10.6667;0.263879;1851
158;2.0;28.3;0.65595;4833
308;4.0;16.1333;0.40339200000000003;4046
302;4.0;10.1667;0.227913;627
731;1.0;8.6333;0.223487;2729
432;2.436802973977695;16.1667;0.3851;4916
178;3.0;27.3;0.637004;4708
212;3.0;32.2333;0.729796;4302
553;3.0;33.1333;0.752533;6207
84;2.0;10.5667;0.256312;2210
631;3.0;26.0;0.610488;53021
728;1.0;10.1333;0.255046;3095
172;3.0;27.2333;0.637646;4835
618;2.436802973977695;24.4;0.578925;8227
223;3.0;28.7;0.651521;4792
2;1.0;14.5391;0.35373899999999997;801
688;4.0;13.7;0.337746;4669
51;1.0;11.4087;0.27733;1812
147;2.0;27.2667;0.637008;4679
247;3.0;28.3667;0.665429;4940
570;3.0;29.6667;0.690017;6966
10;1.0;6.0333;0.15088800000000002;1321
217;3.0;28.4333;0.656567;4866
684;4.0;11.5667;0.281563;5495
75;1.0;14.6087;0.36693000000000003;2192
610;3.0;30.1333;0.702654;6140
544;3.0;27.9;0.640792;7335
495;2.0;23.0;0.553025;4717
443;1.0;18.9;0.46399999999999997;5892
561;3.0;28.1333;0.666042;6969
692;2.436802973977695;13.6;0.350371;2425
494;2.436802973977695;23.2667;0.557471;5728
99;2.0;13.7;0.34152899999999997;2455
54;1.0;8.8696;0.24571700000000002;1917
250;3.0;23.9667;0.544229;1996
131;2.0;21.7;0.5284;4182
500;2.0;22.9333;0.5499;2843
522;2.0;21.6333;0.525892;7001
538;3.0;32.2333;0.752542;5905
191;3.0;29.9;0.690025;4881
238;3.0;28.0;0.659733;4661
80;2.0;17.2174;0.409735;2077
47;1.0;12.7304;0.3162;2115
6;1.0;8.1739;0.23320900000000003;1606
414;1.0;13.8667;0.355425;4318
384;1.0;7.6;0.190038;3292
166;2.436802973977695;25.0667;0.587754;5180
375;1.0;12.3478;0.318826;3598
282;4.0;21.6333;0.523983;5511
224;2.436802973977695;28.3333;0.654042;4905
521;2.0;23.9;0.578283;6998
293;4.0;19.0333;0.466525;4195
635;4.0;25.4;0.5966130000000001;7733
215;3.0;29.2667;0.679937;3574
607;3.0;27.4;0.635733;7697
177;3.0;27.2;0.637629;5305
36;1.0;9.3333;0.243058;1005
438;1.0;22.6;0.542929;5847
461;2.436802973977695;17.4;0.431163;6457
311;4.0;15.8;0.400871;4035
379;2.436802973977695;7.2;0.183087;2493
391;1.0;13.6667;0.35605;4075
664;4.0;22.0;0.529688;7359
710;4.0;17.4333;0.435575;5170
563;2.436802973977695;30.5333;0.724125;6830
678;2.436802973977695;14.087;0.341891;5315
457;2.0;17.0333;0.41728699999999996;6041
625;3.0;23.2;0.563125;7333
616;2.436802973977695;28.1333;0.657204;7504
410;1.0;12.7667;0.333946;3922
130;2.0;21.3;0.522721;4803
319;4.0;21.2;0.507579;4195
225;3.0;27.4333;0.645858;4150
5;1.0;9.0783;0.22926999999999997;1600
150;2.0;29.3333;0.671092;4098
727;1.0;10.1667;0.226642;2114
160;2.0;32.3333;0.757579;3915
207;3.0;30.8667;0.696979;4590
479;2.436802973977695;12.8667;0.301125;3214
381;1.0;7.6;0.190663;2298
374;1.0;8.9667;0.247479;2376
118;2.436802973977695;24.7;0.578929;4058
505;2.0;24.0;0.566908;42945
73;1.0;13.0087;0.332;2046
62;1.0;7.9333;0.200133;1685
530;2.0;26.2333;0.611117;7421
33;1.0;10.4;0.254417;1526
57;1.0;11.3;0.282192;1969
405;1.0;10.6;0.261988;3830
400;1.0;10.5667;0.272725;2832
392;2.436802973977695;17.0;0.415383;3456
613;3.0;29.0333;0.686888;6864
29;1.0;7.8609;0.212126;1098
475;2.0;19.9333;0.493046;6565
307;4.0;16.3333;0.405921;3974
340;4.0;18.5;0.4564;2594
114;2.0;23.2667;0.551763;4191
674;4.0;13.0333;0.329538;5107
454;2.436802973977695;19.7667;0.482304;6133
165;2.0;24.1667;0.591546;4891
300;4.0;18.8;0.457046;2659
532;2.0;25.5667;0.599754;7665
560;3.0;29.2667;0.667933;7499
467;2.0;13.9478;0.33727399999999996;4862
567;3.0;26.6333;0.613025;5870
134;2.0;20.8333;0.500629;3409
106;2.0;17.2333;0.425492;795
585;3.0;29.4333;0.697621;7273
325;4.0;17.9;0.445062;2765
58;1.0;13.7391;0.351109;2402
263;3.0;22.4667;0.532217;3641
386;1.0;6.9333;0.174875;1301
153;2.0;28.6;0.643942;4968
451;2.0;17.8333;0.43875;5558
537;2.0;31.3;0.720975;6211
419;1.0;18.1667;0.444446;5062
152;2.0;30.5667;0.720967;3974
445;1.0;22.4333;0.538533;6093
275;4.0;14.2667;0.345317;2918
668;4.0;17.6;0.4394;22
644;4.0;24.6;0.580187;8156
127;2.0;20.8;0.512621;4714
376;1.0;10.9667;0.282821;2177
236;3.0;26.9333;0.630692;5130
573;3.0;31.0667;0.739263;6861
645;4.0;22.1667;0.538521;7965
370;2.436802973977695;10.6333;0.278412;3272
125;2.436802973977695;18.3667;0.441917;4433
21;1.0;7.1;0.157833;1543
351;4.0;10.3333;0.249371;2739
659;4.0;19.3667;0.472842;8090
345;4.0;8.8333;0.253154;2743
528;2.0;28.8333;0.659721;6664
493;2.0;21.5;0.527142;6273
270;4.0;25.4667;0.574525;4120
82;2.0;13.8783;0.337939;2121
642;4.0;26.3;0.599133;7572
611;3.0;27.8667;0.649;5810
720;4.0;13.2;0.335217;4128
525;2.0;25.9667;0.597862;7736
338;4.0;13.2333;0.3491;3485
715;4.0;12.9667;0.338383;5047
402;1.0;11.3044;0.296426;3784
43;1.0;8.9;0.232954;1472
448;2.0;24.0667;0.570067;32043
46;1.0;10.6435;0.254274;1815
156;2.0;25.9333;0.616804;4906
149;2.0;26.7;0.61555;4788
199;3.0;29.8667;0.703925;4458
123;2.0;24.6667;0.582079;4451
520;2.0;24.1;0.575133;7641
294;4.0;17.1;0.42359600000000003;4304
364;1.0;12.4667;0.318812;2999
289;4.0;20.4667;0.503154;5041
111;2.0;18.3667;0.453892;4189
671;4.0;14.6333;0.369942;5986
382;1.0;14.9217;0.36427800000000005;2935
558;3.0;28.6667;0.650271;7264
507;2.0;23.9333;0.565667;4359
539;3.0;31.1;0.724121;5823
329;2.436802973977695;15.0;0.380671;2792
403;1.0;14.1667;0.361104;4375
138;2.0;22.0;0.527158;3855
297;4.0;18.5333;0.457067;4187
28;1.0;8.1391;0.22331700000000002;1167
667;2.436802973977695;19.1;0.467771;4459
122;2.0;21.9667;0.532833;4401
37;1.0;11.4333;0.291671;1623
292;4.0;21.6696;0.513848;2424
535;2.0;22.7333;0.544842;5099
468;2.0;15.9;0.387604;5409
164;2.0;25.4;0.601654;5020
96;2.0;15.6333;0.387608;2808
482;2.0;19.9333;0.483583;5026
205;3.0;33.2;0.794829;3606
174;3.0;29.1333;0.693833;4790
589;2.436802973977695;27.7;0.638267;6299
230;3.0;28.4667;0.662258;3805
649;4.0;20.5667;0.503142;7691
265;3.0;25.1333;0.554963;4795
79;1.0;13.3;0.32575;2471
434;1.0;16.4333;0.397083;4569
393;1.0;12.6333;0.326379;4023
143;2.436802973977695;25.2667;0.590296;4274
543;3.0;25.2333;0.594704;7442
26;1.0;8.7;0.2036;506
112;2.0;13.4667;0.321954;1683
41;1.0;5.7739;0.14954800000000001;1538
719;2.436802973977695;13.3;0.34216199999999997;5267
429;1.0;13.0333;0.303021;3423
600;3.0;26.7;0.621854;7375
663;4.0;23.5;0.558721;7693
463;2.0;17.5;0.426129;6857
104;2.0;18.7;0.462742;3267
395;1.0;10.7667;0.262625;3624
226;3.0;27.0667;0.624388;3820
309;4.0;13.0667;0.323854;3926
624;3.0;24.3333;0.585867;35932
256;3.0;26.0333;0.603554;4763
679;2.436802973977695;14.4667;0.35541300000000003;5992
647;4.0;15.3333;0.387608;5478
423;1.0;14.6667;0.357954;4322
622;3.0;24.5;0.579558;7804
662;4.0;21.7667;0.530304;7466
629;3.0;21.8667;0.532192;7720
707;4.0;12.8333;0.32195799999999997;5008
601;3.0;27.8333;0.637008;7765
486;2.0;18.5667;0.457696;5572
140;2.0;21.4667;0.529042;4917
187;3.0;28.8;0.685633;4629
330;4.0;15.0333;0.385087;3068
249;3.0;21.6;0.5152;2710
98;2.0;13.4333;0.324479;1471
584;3.0;30.1;0.710246;7013
115;2.0;24.2667;0.5745;4073
288;4.0;20.2667;0.498725;5217
48;1.0;17.4333;0.428658;2475
617;3.0;26.3667;0.611121;5976
655;4.0;18.7333;0.460846;7534
50;2.436802973977695;15.9667;0.391404;1635
52;1.0;12.1333;0.284075;1107
404;1.0;10.2667;0.266421;2802
418;1.0;15.8333;0.392667;4773
258;2.436802973977695;23.1;0.553671;3659
262;3.0;21.9667;0.529675;4539
581;3.0;30.6333;0.722867;7175
623;3.0;25.3333;0.594083;8009
279;4.0;19.7667;0.480425;4765
348;2.436802973977695;12.7;0.338362;3740
264;3.0;23.8;0.5505329999999999;4352
536;2.0;27.5333;0.654692;6825
328;4.0;14.9333;0.372471;1495
68;1.0;11.8333;0.286608;1891
107;2.0;18.2667;0.445696;3744
430;1.0;9.7333;0.241171;3333
334;4.0;13.0;0.311221;3613
575;3.0;30.2333;0.697604;6685
176;2.436802973977695;27.8;0.643313;5202
219;3.0;29.7;0.715292;3785
19;1.0;11.687;0.29842199999999997;1650
93;2.0;15.1333;0.378767;3249
686;4.0;13.8;0.347204;5698
76;1.0;16.6;0.410333;2744
72;1.0;15.3739;0.380091;2417
523;2.0;22.1667;0.542292;7055
534;2.0;23.7;0.571975;6978
237;3.0;27.3667;0.645854;3542
192;3.0;30.5;0.729804;4086
480;2.0;16.5333;0.405283;5633
356;1.0;16.9333;0.426121;3068
621;3.0;23.9667;0.570075;7870
568;3.0;23.8333;0.549912;4459
295;4.0;16.9;0.425492;4308
324;4.0;18.5333;0.457058;3520
460;2.0;21.6667;0.53345;6436
449;2.0;20.1;0.48673299999999997;3372
318;4.0;21.2;0.524612;4486
331;4.0;18.3667;0.4558;3071
17;1.0;7.0333;0.176771;1000
22;1.0;2.3652;0.0790696;981
677;4.0;11.8333;0.274621;5035
380;1.0;6.6667;0.161625;2311
222;3.0;30.6667;0.684983;4780
39;1.0;8.8333;0.198246;1530
182;3.0;28.9;0.652162;5362
235;2.436802973977695;25.6333;0.606067;5895
630;3.0;23.9667;0.571971;8167
344;4.0;11.0;0.266412;3190
516;2.0;26.2667;0.611129;6855
128;2.0;21.1333;0.518933;4333
326;4.0;16.6667;0.421696;1607
327;4.0;17.6333;0.430537;2566
286;4.0;23.5667;0.551804;2913
470;2.0;19.8;0.487996;7460
15;1.0;9.3333;0.248112;1248
25;1.0;8.9391;0.234526;1985
216;3.0;28.4;0.664788;4576
660;4.0;18.5667;0.456429;6824
513;2.0;27.6;0.641425;6591
691;4.0;14.1333;0.364892;5146
614;3.0;29.4667;0.708983;7112
137;2.0;22.4667;0.538529;4123
136;2.0;23.1;0.550512;3958
383;1.0;12.1333;0.275254;3376
697;4.0;11.6667;0.281558;3959
729;1.0;10.1333;0.2424;1341
301;4.0;13.2333;0.318812;3747
124;2.436802973977695;16.5667;0.40465;2633
148;2.0;26.2333;0.612379;4758
306;4.0;15.1;0.390133;4186
546;3.0;33.3667;0.786613;5463
23;1.0;3.8609;0.09883910000000001;986
675;4.0;12.7667;0.308075;5259
281;4.0;20.8667;0.513242;5409
633;4.0;20.5667;0.502513;7436
45;1.0;16.6;0.39835;1913
139;2.0;21.2333;0.510742;4575
77;1.0;21.6;0.5270090000000001;3239
108;2.436802973977695;20.5;0.503146;3429
204;3.0;33.9667;0.804287;3285
245;3.0;25.7333;0.604808;4727
411;1.0;13.9333;0.35162899999999997;4169
444;1.0;21.8;0.532821;6153
369;1.0;4.3;0.11933699999999998;2368
717;4.0;15.7333;0.4015;4585
462;2.0;16.1333;0.39076700000000003;6460
336;2.436802973977695;12.5667;0.331433;3940
78;1.0;18.9;0.466525;3117
81;2.436802973977695;17.6667;0.44064200000000003;2703
377;1.0;15.3;0.381938;4097
299;4.0;19.3667;0.472846;3894
497;2.0;21.3333;0.520833;7030
