"instant";"season";"yr";"temp";"atemp";"outlier";"cnt"
342;4.0;0;10.6333;0.256938;"false";3322
713;2.5121951219512195;1;11.8333;0.294188;"false";5532
253;3.0;0;26.4;0.607962;"false";5345
184;2.5121951219512195;0;28.6667;0.668575;"false";4649
214;3.0;0;31.3333;0.707071;"false";4845
272;4.0;0;24.6667;0.574512;"false";4839
582;3.0;1;31.7333;0.751267;"false";6824
267;4.0;0;24.2667;0.564412;"false";5423
433;1.0;1;21.1;0.524604;"false";5382
97;2.0;0;17.5;0.433696;"false";3141
363;1.0;0;9.9333;0.263892;"false";2423
31;2.5121951219512195;0;7.2333;0.18625;"false";1501
117;2.0;0;24.8;0.575142;"false";3872
332;4.0;0;20.1391;0.490122;"false";3867
424;1.0;1;14.3667;0.353525;"false";4363
489;2.0;1;22.4;0.537242;"false";6421
428;1.0;1;16.5667;0.413492;"false";4066
406;1.0;1;11.2333;0.293558;"false";3831
193;3.0;0;31.7667;0.739275;"false";4258
415;1.0;1;11.2;0.265788;"false";2689
508;2.0;1;24.6;0.580825;"false";6073
385;1.0;1;8.7;0.220958;"false";3163
498;2.0;1;22.5667;0.544817;"false";7429
372;2.5121951219512195;1;15.7333;0.390779;"false";4521
503;2.0;1;23.7333;0.572613;"false";7384
477;2.0;1;22.8;0.542921;"false";6624
20;1.0;0;10.4667;0.25505;"false";1927
440;2.5121951219512195;1;22.3;0.532825;"false";6192
55;1.0;0;11.8261;0.289191;"false";1807
587;3.0;1;30.2333;0.699508;"false";7286
70;1.0;0;12.6609;0.305;"false";1977
550;3.0;1;31.2333;0.70265;"false";6660
110;2.0;0;23.8;0.564392;"false";3944
243;2.5121951219512195;0;26.2667;0.611121;"false";5058
469;2.0;1;17.7;0.43180799999999997;"false";6398
151;2.0;0;31.0;0.725383;"false";3982
169;2.0;0;27.8667;0.643954;"false";5119
517;2.0;1;27.2;0.631329;"false";7338
696;4.0;1;12.5333;0.33900399999999997;"false";5087
690;4.0;1;14.9667;0.38066700000000003;"false";5634
455;2.0;1;14.8;0.375621;"false";5459
506;2.0;1;24.8333;0.583967;"false";7129
91;2.0;0;12.0;0.283454;"false";2227
260;3.0;0;19.6667;0.478512;"false";4511
317;4.0;0;17.6333;0.43055;"false";3717
145;2.0;0;26.4333;0.615542;"false";4978
595;3.0;1;28.9333;0.2424;"false";7148
427;1.0;1;14.1333;0.359842;"false";3194
515;2.0;1;28.9;0.672992;"false";5743
670;4.0;1;14.3;0.3611;"false";5566
284;4.0;0;22.6667;0.546096;"false";4563
3;2.5121951219512195;0;7.8546;0.189405;"false";1349
49;1.0;0;20.8667;0.511983;"false";2927
673;4.0;1;13.7333;0.323846;"false";5138
323;2.5121951219512195;0;13.1667;0.32448299999999997;"false";3663
676;4.0;1;11.2333;0.281567;"false";5686
142;2.5121951219512195;0;24.1667;0.5745;"false";4660
211;3.0;0;32.1667;0.728537;"false";4475
437;1.0;1;18.6667;0.459592;"false";5298
598;3.0;1;25.4333;0.595967;"false";6530
343;4.0;0;11.6333;0.317542;"false";3620
526;2.0;1;28.4333;0.648367;"false";7498
251;3.0;0;25.3565;0.555361;"false";1842
435;1.0;1;11.5;0.277767;"false";4118
593;3.0;1;28.2667;0.654037;"false";7347
394;1.0;1;11.3;0.272721;"false";3243
228;3.0;0;28.0333;0.645837;"false";4725
708;4.0;1;15.2667;0.38950799999999997;"false";5582
412;1.0;1;12.6667;0.330162;"false";3005
551;3.0;1;31.5667;0.732337;"false";7403
390;1.0;1;11.7667;0.294821;"false";4270
566;3.0;1;30.8;0.714642;"false";6591
574;3.0;1;31.2667;0.734217;"false";6904
266;4.0;0;24.3667;0.522125;"false";2395
627;3.0;1;24.9333;0.565067;"false";4073
109;2.0;0;20.2333;0.48925799999999997;"false";3204
612;3.0;1;28.3;0.661629;"false";6034
63;1.0;0;10.4667;0.255679;"false";1944
542;3.0;1;28.6333;0.654042;"false";6779
636;4.0;1;26.0;0.607975;"false";7393
167;2.0;0;25.1333;0.595346;"false";3767
259;3.0;0;18.7667;0.461475;"false";4760
87;2.5121951219512195;0;10.5739;0.25757399999999997;"false";2028
603;3.0;1;26.4667;0.618696;"false";6053
701;2.5121951219512195;1;11.9333;0.316904;"false";5191
337;4.0;0;11.9667;0.310604;"false";3614
40;2.5121951219512195;0;5.3913;0.144283;"false";1605
518;2.5121951219512195;1;26.1667;0.607962;"false";4127
396;1.0;1;15.6;0.381317;"false";4509
195;3.0;0;27.2333;0.635104;"false";5084
268;4.0;0;25.3667;0.572637;"false";5010
491;2.0;1;24.8667;0.584608;"false";6883
278;4.0;0;21.5333;0.527138;"false";4826
186;3.0;0;29.8667;0.696338;"false";4665
604;3.0;1;26.1333;0.595996;"false";5255
476;2.0;1;21.0667;0.515775;"false";7290
231;3.0;0;27.4;0.633221;"false";4153
280;2.5121951219512195;0;20.4333;0.504404;"false";4985
95;2.0;0;16.5667;0.39835;"false";1795
371;1.0;1;13.3667;0.340267;"false";4098
170;2.0;0;27.9667;0.645846;"false";4744
218;3.0;0;28.6667;0.676154;"false";4294
155;2.0;0;25.4;0.594696;"false";5342
492;2.0;1;22.5;0.546737;"false";6359
672;4.0;1;14.2;0.356042;"false";5847
168;2.0;0;25.9667;0.600383;"false";4844
389;1.0;1;13.7;0.349108;"false";4339
322;4.0;0;10.9667;0.272721;"false";3392
333;4.0;0;18.3333;0.451375;"false";2914
126;2.0;0;19.1667;0.474117;"false";4608
101;2.0;0;23.8261;0.565217;"false";3348
456;2.0;1;16.9667;0.42170799999999997;"false";6235
576;3.0;1;28.8667;0.667933;"false";6597
355;1.0;0;17.1333;0.428017;"false";2660
171;2.0;0;25.4;0.595346;"false";4010
60;1.0;0;10.6667;0.263879;"false";1851
158;2.0;0;28.3;0.65595;"false";4833
308;4.0;0;16.1333;0.40339200000000003;"false";4046
731;1.0;1;8.6333;0.223487;"false";2729
432;2.5121951219512195;1;16.1667;0.3851;"false";4916
178;3.0;0;27.3;0.637004;"false";4708
212;3.0;0;32.2333;0.729796;"false";4302
553;3.0;1;33.1333;0.752533;"false";6207
84;2.0;0;10.5667;0.256312;"false";2210
728;1.0;1;10.1333;0.255046;"false";3095
172;3.0;0;27.2333;0.637646;"false";4835
618;2.5121951219512195;1;24.4;0.578925;"false";8227
223;3.0;0;28.7;0.651521;"false";4792
688;4.0;1;13.7;0.337746;"false";4669
51;1.0;0;11.4087;0.27733;"false";1812
147;2.0;0;27.2667;0.637008;"false";4679
247;3.0;0;28.3667;0.665429;"false";4940
570;3.0;1;29.6667;0.690017;"false";6966
217;3.0;0;28.4333;0.656567;"false";4866
684;4.0;1;11.5667;0.281563;"false";5495
75;1.0;0;14.6087;0.36693000000000003;"false";2192
610;3.0;1;30.1333;0.702654;"false";6140
544;3.0;1;27.9;0.640792;"false";7335
495;2.0;1;23.0;0.553025;"false";4717
443;1.0;1;18.9;0.46399999999999997;"false";5892
561;3.0;1;28.1333;0.666042;"false";6969
692;2.5121951219512195;1;13.6;0.350371;"false";2425
494;2.5121951219512195;1;23.2667;0.557471;"false";5728
99;2.0;0;13.7;0.34152899999999997;"false";2455
54;1.0;0;8.8696;0.24571700000000002;"false";1917
250;3.0;0;23.9667;0.544229;"false";1996
131;2.0;0;21.7;0.5284;"false";4182
500;2.0;1;22.9333;0.5499;"false";2843
522;2.0;1;21.6333;0.525892;"false";7001
538;3.0;1;32.2333;0.752542;"false";5905
191;3.0;0;29.9;0.690025;"false";4881
238;3.0;0;28.0;0.659733;"false";4661
80;2.0;0;17.2174;0.409735;"false";2077
47;1.0;0;12.7304;0.3162;"false";2115
414;1.0;1;13.8667;0.355425;"false";4318
384;1.0;1;7.6;0.190038;"false";3292
166;2.5121951219512195;0;25.0667;0.587754;"false";5180
375;1.0;1;12.3478;0.318826;"false";3598
282;4.0;0;21.6333;0.523983;"false";5511
224;2.5121951219512195;0;28.3333;0.654042;"false";4905
521;2.0;1;23.9;0.578283;"false";6998
293;4.0;0;19.0333;0.466525;"false";4195
215;3.0;0;29.2667;0.679937;"false";3574
177;3.0;0;27.2;0.637629;"false";5305
438;1.0;1;22.6;0.542929;"false";5847
461;2.5121951219512195;1;17.4;0.431163;"false";6457
311;4.0;0;15.8;0.400871;"false";4035
379;2.5121951219512195;1;7.2;0.183087;"false";2493
391;1.0;1;13.6667;0.35605;"false";4075
664;4.0;1;22.0;0.529688;"false";7359
710;4.0;1;17.4333;0.435575;"false";5170
563;2.5121951219512195;1;30.5333;0.724125;"false";6830
678;2.5121951219512195;1;14.087;0.341891;"false";5315
457;2.0;1;17.0333;0.41728699999999996;"false";6041
625;3.0;1;23.2;0.563125;"false";7333
616;2.5121951219512195;1;28.1333;0.657204;"false";7504
410;1.0;1;12.7667;0.333946;"false";3922
130;2.0;0;21.3;0.522721;"false";4803
319;4.0;0;21.2;0.507579;"false";4195
225;3.0;0;27.4333;0.645858;"false";4150
150;2.0;0;29.3333;0.671092;"false";4098
160;2.0;0;32.3333;0.757579;"false";3915
207;3.0;0;30.8667;0.696979;"false";4590
479;2.5121951219512195;1;12.8667;0.301125;"false";3214
381;1.0;1;7.6;0.190663;"false";2298
374;1.0;1;8.9667;0.247479;"false";2376
118;2.5121951219512195;0;24.7;0.578929;"false";4058
73;1.0;0;13.0087;0.332;"false";2046
530;2.0;1;26.2333;0.611117;"false";7421
33;1.0;0;10.4;0.254417;"false";1526
57;1.0;0;11.3;0.282192;"false";1969
405;1.0;1;10.6;0.261988;"false";3830
400;1.0;1;10.5667;0.272725;"false";2832
392;2.5121951219512195;1;17.0;0.415383;"false";3456
613;3.0;1;29.0333;0.686888;"false";6864
475;2.0;1;19.9333;0.493046;"false";6565
307;4.0;0;16.3333;0.405921;"false";3974
340;4.0;0;18.5;0.4564;"false";2594
114;2.0;0;23.2667;0.551763;"false";4191
674;4.0;1;13.0333;0.329538;"false";5107
454;2.5121951219512195;1;19.7667;0.482304;"false";6133
165;2.0;0;24.1667;0.591546;"false";4891
300;4.0;0;18.8;0.457046;"false";2659
560;3.0;1;29.2667;0.667933;"false";7499
467;2.0;1;13.9478;0.33727399999999996;"false";4862
567;3.0;1;26.6333;0.613025;"false";5870
134;2.0;0;20.8333;0.500629;"false";3409
585;3.0;1;29.4333;0.697621;"false";7273
325;4.0;0;17.9;0.445062;"false";2765
58;1.0;0;13.7391;0.351109;"false";2402
263;3.0;0;22.4667;0.532217;"false";3641
153;2.0;0;28.6;0.643942;"false";4968
451;2.0;1;17.8333;0.43875;"false";5558
537;2.0;1;31.3;0.720975;"false";6211
419;1.0;1;18.1667;0.444446;"false";5062
152;2.0;0;30.5667;0.720967;"false";3974
445;1.0;1;22.4333;0.538533;"false";6093
275;4.0;0;14.2667;0.345317;"false";2918
127;2.0;0;20.8;0.512621;"false";4714
376;1.0;1;10.9667;0.282821;"false";2177
236;3.0;0;26.9333;0.630692;"false";5130
573;3.0;1;31.0667;0.739263;"false";6861
370;2.5121951219512195;1;10.6333;0.278412;"false";3272
125;2.5121951219512195;0;18.3667;0.441917;"false";4433
351;4.0;0;10.3333;0.249371;"false";2739
345;4.0;0;8.8333;0.253154;"false";2743
528;2.0;1;28.8333;0.659721;"false";6664
493;2.0;1;21.5;0.527142;"false";6273
270;4.0;0;25.4667;0.574525;"false";4120
82;2.0;0;13.8783;0.337939;"false";2121
611;3.0;1;27.8667;0.649;"false";5810
720;4.0;1;13.2;0.335217;"false";4128
338;4.0;0;13.2333;0.3491;"false";3485
715;4.0;1;12.9667;0.338383;"false";5047
402;1.0;1;11.3044;0.296426;"false";3784
46;1.0;0;10.6435;0.254274;"false";1815
156;2.0;0;25.9333;0.616804;"false";4906
149;2.0;0;26.7;0.61555;"false";4788
199;3.0;0;29.8667;0.703925;"false";4458
123;2.0;0;24.6667;0.582079;"false";4451
294;4.0;0;17.1;0.42359600000000003;"false";4304
364;1.0;0;12.4667;0.318812;"false";2999
289;4.0;0;20.4667;0.503154;"false";5041
111;2.0;0;18.3667;0.453892;"false";4189
671;4.0;1;14.6333;0.369942;"false";5986
382;1.0;1;14.9217;0.36427800000000005;"false";2935
558;3.0;1;28.6667;0.650271;"false";7264
507;2.0;1;23.9333;0.565667;"false";4359
539;3.0;1;31.1;0.724121;"false";5823
329;2.5121951219512195;0;15.0;0.380671;"false";2792
403;1.0;1;14.1667;0.361104;"false";4375
138;2.0;0;22.0;0.527158;"false";3855
297;4.0;0;18.5333;0.457067;"false";4187
667;2.5121951219512195;1;19.1;0.467771;"false";4459
122;2.0;0;21.9667;0.532833;"false";4401
292;4.0;0;21.6696;0.513848;"false";2424
535;2.0;1;22.7333;0.544842;"false";5099
468;2.0;1;15.9;0.387604;"false";5409
164;2.0;0;25.4;0.601654;"false";5020
96;2.0;0;15.6333;0.387608;"false";2808
482;2.0;1;19.9333;0.483583;"false";5026
205;3.0;0;33.2;0.794829;"false";3606
174;3.0;0;29.1333;0.693833;"false";4790
589;2.5121951219512195;1;27.7;0.638267;"false";6299
230;3.0;0;28.4667;0.662258;"false";3805
265;3.0;0;25.1333;0.554963;"false";4795
79;1.0;0;13.3;0.32575;"false";2471
434;1.0;1;16.4333;0.397083;"false";4569
393;1.0;1;12.6333;0.326379;"false";4023
143;2.5121951219512195;0;25.2667;0.590296;"false";4274
543;3.0;1;25.2333;0.594704;"false";7442
41;1.0;0;5.7739;0.14954800000000001;"false";1538
719;2.5121951219512195;1;13.3;0.34216199999999997;"false";5267
429;1.0;1;13.0333;0.303021;"false";3423
600;3.0;1;26.7;0.621854;"false";7375
463;2.0;1;17.5;0.426129;"false";6857
104;2.0;0;18.7;0.462742;"false";3267
395;1.0;1;10.7667;0.262625;"false";3624
226;3.0;0;27.0667;0.624388;"false";3820
309;4.0;0;13.0667;0.323854;"false";3926
256;3.0;0;26.0333;0.603554;"false";4763
679;2.5121951219512195;1;14.4667;0.35541300000000003;"false";5992
647;4.0;1;15.3333;0.387608;"false";5478
423;1.0;1;14.6667;0.357954;"false";4322
662;4.0;1;21.7667;0.530304;"false";7466
707;4.0;1;12.8333;0.32195799999999997;"false";5008
486;2.0;1;18.5667;0.457696;"false";5572
140;2.0;0;21.4667;0.529042;"false";4917
187;3.0;0;28.8;0.685633;"false";4629
330;4.0;0;15.0333;0.385087;"false";3068
249;3.0;0;21.6;0.5152;"false";2710
584;3.0;1;30.1;0.710246;"false";7013
115;2.0;0;24.2667;0.5745;"false";4073
288;4.0;0;20.2667;0.498725;"false";5217
48;1.0;0;17.4333;0.428658;"false";2475
617;3.0;1;26.3667;0.611121;"false";5976
50;2.5121951219512195;0;15.9667;0.391404;"false";1635
404;1.0;1;10.2667;0.266421;"false";2802
418;1.0;1;15.8333;0.392667;"false";4773
258;2.5121951219512195;0;23.1;0.553671;"false";3659
262;3.0;0;21.9667;0.529675;"false";4539
581;3.0;1;30.6333;0.722867;"false";7175
279;4.0;0;19.7667;0.480425;"false";4765
348;2.5121951219512195;0;12.7;0.338362;"false";3740
264;3.0;0;23.8;0.5505329999999999;"false";4352
536;2.0;1;27.5333;0.654692;"false";6825
68;1.0;0;11.8333;0.286608;"false";1891
107;2.0;0;18.2667;0.445696;"false";3744
430;1.0;1;9.7333;0.241171;"false";3333
334;4.0;0;13.0;0.311221;"false";3613
575;3.0;1;30.2333;0.697604;"false";6685
176;2.5121951219512195;0;27.8;0.643313;"false";5202
219;3.0;0;29.7;0.715292;"false";3785
93;2.0;0;15.1333;0.378767;"false";3249
686;4.0;1;13.8;0.347204;"false";5698
76;1.0;0;16.6;0.410333;"false";2744
72;1.0;0;15.3739;0.380091;"false";2417
523;2.0;1;22.1667;0.542292;"false";7055
534;2.0;1;23.7;0.571975;"false";6978
237;3.0;0;27.3667;0.645854;"false";3542
192;3.0;0;30.5;0.729804;"false";4086
480;2.0;1;16.5333;0.405283;"false";5633
356;1.0;0;16.9333;0.426121;"false";3068
568;3.0;1;23.8333;0.549912;"false";4459
295;4.0;0;16.9;0.425492;"false";4308
324;4.0;0;18.5333;0.457058;"false";3520
460;2.0;1;21.6667;0.53345;"false";6436
449;2.0;1;20.1;0.48673299999999997;"false";3372
318;4.0;0;21.2;0.524612;"false";4486
331;4.0;0;18.3667;0.4558;"false";3071
677;4.0;1;11.8333;0.274621;"false";5035
380;1.0;1;6.6667;0.161625;"false";2311
222;3.0;0;30.6667;0.684983;"false";4780
39;1.0;0;8.8333;0.198246;"false";1530
182;3.0;0;28.9;0.652162;"false";5362
235;2.5121951219512195;0;25.6333;0.606067;"false";5895
344;4.0;0;11.0;0.266412;"false";3190
516;2.0;1;26.2667;0.611129;"false";6855
128;2.0;0;21.1333;0.518933;"false";4333
326;4.0;0;16.6667;0.421696;"false";1607
327;4.0;0;17.6333;0.430537;"false";2566
286;4.0;0;23.5667;0.551804;"false";2913
470;2.0;1;19.8;0.487996;"false";7460
25;1.0;0;8.9391;0.234526;"false";1985
216;3.0;0;28.4;0.664788;"false";4576
660;4.0;1;18.5667;0.456429;"false";6824
513;2.0;1;27.6;0.641425;"false";6591
691;4.0;1;14.1333;0.364892;"false";5146
614;3.0;1;29.4667;0.708983;"false";7112
137;2.0;0;22.4667;0.538529;"false";4123
136;2.0;0;23.1;0.550512;"false";3958
383;1.0;1;12.1333;0.275254;"false";3376
697;4.0;1;11.6667;0.281558;"false";3959
301;4.0;0;13.2333;0.318812;"false";3747
124;2.5121951219512195;0;16.5667;0.40465;"false";2633
148;2.0;0;26.2333;0.612379;"false";4758
306;4.0;0;15.1;0.390133;"false";4186
546;3.0;1;33.3667;0.786613;"false";5463
675;4.0;1;12.7667;0.308075;"false";5259
281;4.0;0;20.8667;0.513242;"false";5409
633;4.0;1;20.5667;0.502513;"false";7436
45;1.0;0;16.6;0.39835;"false";1913
139;2.0;0;21.2333;0.510742;"false";4575
77;1.0;0;21.6;0.5270090000000001;"false";3239
108;2.5121951219512195;0;20.5;0.503146;"false";3429
204;3.0;0;33.9667;0.804287;"false";3285
245;3.0;0;25.7333;0.604808;"false";4727
411;1.0;1;13.9333;0.35162899999999997;"false";4169
444;1.0;1;21.8;0.532821;"false";6153
369;1.0;1;4.3;0.11933699999999998;"false";2368
717;4.0;1;15.7333;0.4015;"false";4585
462;2.0;1;16.1333;0.39076700000000003;"false";6460
336;2.5121951219512195;0;12.5667;0.331433;"false";3940
78;1.0;0;18.9;0.466525;"false";3117
81;2.5121951219512195;0;17.6667;0.44064200000000003;"false";2703
377;1.0;1;15.3;0.381938;"false";4097
299;4.0;0;19.3667;0.472846;"false";3894
497;2.0;1;21.3333;0.520833;"false";7030
