"instant";"season";"yr";"mnth";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"leaflets";"price reduction";"outlier";"cnt"
234;3.0;0;8;0;1;1;1;27.6667;0.638254;70.5;0.27675;990;0;"false";4758
66;1.0;0;3;0;1;1;1;10.4696;0.238461;82.6956;0.341352;981;1;"false";1872
725;1.0;1;12;1;2;0;2;11.6522;0.29446500000000003;93.76335789473686;0.168726;699;0;"false";1013
102;2.0;0;4;0;2;1;2;20.1;0.493054;110.87505;0.274879;813;0;"false";2034
399;2.4966740576496673;1;2;0;5;1;1;12.5333;0.309346;79.00005;0.17849600000000002;860;0;"false";4151
342;4.0;0;12;0;4;1;1;10.6333;0.256938;87.0;0.240058;573;0;"false";3322
713;2.4966740576496673;1;12;0;4;1;1;11.8333;0.294188;72.87495;0.174129;676;0;"false";5532
253;3.0;0;9;0;6;0;1;26.4;0.607962;113.0625;0.153608;560;0;"false";5345
184;2.4966740576496673;0;7;0;0;0;2;28.6667;0.668575;102.375;0.228858;722;0;"false";4649
214;3.0;0;8;0;2;1;1;31.3333;0.707071;73.6875;0.20585;617;0;"false";4845
272;4.0;0;9;0;4;1;1;24.6667;0.574512;104.87505;0.17288299999999998;920;0;"false";4839
582;3.0;1;8;0;6;0;1;31.7333;0.751267;91.99995;0.257458;606;0;"false";6824
267;4.0;0;9;0;6;0;2;24.2667;0.564412;129.375;0.0783833;968;0;"false";5423
433;1.0;1;3;0;4;1;1;21.1;0.524604;85.125;0.441563;870;0;"false";5382
97;2.0;0;4;0;4;1;1;17.5;0.433696;90.43755;0.16231199999999998;929;0;"false";3141
363;1.0;0;12;0;4;1;1;9.9333;0.263892;86.12505;0.11941199999999999;728;0;"false";2423
31;2.4966740576496673;0;1;0;1;1;2;7.2333;0.18625;90.5625;0.187192;901;0;"false";1501
117;2.0;0;4;0;3;1;2;24.8;0.575142;125.31255;0.3122;849;1;"false";3872
332;4.0;0;11;0;1;1;1;20.1391;0.490122;111.45645;0.142122;637;0;"false";3867
424;1.0;1;2;0;2;1;1;14.3667;0.353525;59.37495;0.193417;595;0;"false";4363
489;2.0;1;5;0;4;1;2;22.4;0.537242;115.24995;0.133696;908;1;"false";6421
428;1.0;1;3;0;6;0;2;16.5667;0.413492;93.1875;0.161079;642;0;"false";4066
406;1.0;1;2;0;5;1;2;11.2333;0.293558;81.0;0.11692899999999999;764;0;"false";3831
193;3.0;0;7;0;2;1;1;31.7667;0.739275;83.87505;0.200254;670;0;"false";4258
415;1.0;1;2;0;0;0;2;11.2;0.265788;77.37495;0.253112;838;0;"false";2689
508;2.0;1;5;0;2;1;2;24.6;0.580825;114.87495;0.11816700000000001;576;0;"false";6073
385;1.0;1;1;0;5;1;2;8.7;0.220958;67.5;0.20275;584;0;"false";3163
498;2.0;1;5;0;6;0;1;22.5667;0.544817;72.06255;0.12313299999999999;813;0;"false";7429
372;2.4966740576496673;1;1;0;6;0;1;15.7333;0.390779;79.75005;0.174758;827;0;"false";4521
503;2.0;1;5;0;4;1;1;23.7333;0.572613;78.0;0.229475;882;0;"false";7384
477;2.0;1;4;0;6;0;1;22.8;0.542921;102.43755;0.283587;524;0;"false";6624
20;1.0;0;1;0;4;1;2;10.4667;0.25505;93.76335789473686;0.195904;992;0;"false";1927
440;2.4966740576496673;1;3;0;4;1;1;22.3;0.532825;86.93745;0.149883;624;0;"false";6192
55;1.0;0;2;0;4;1;2;11.8261;0.289191;104.60865;0.250496;759;0;"false";1807
587;3.0;1;8;0;4;1;1;30.2333;0.699508;93.06255;0.1561;1006;1;"false";7286
70;1.0;0;3;0;5;1;2;12.6609;0.305;97.43475;0.23296999999999998;487;1;"false";1977
550;3.0;1;7;0;2;1;1;31.2333;0.70265;73.81245;0.126237;790;0;"false";6660
110;2.0;0;4;0;3;1;1;23.8;0.564392;92.12505;0.241925;750;1;"false";3944
243;2.4966740576496673;0;8;0;3;1;1;26.2667;0.611121;89.68755;0.08333330000000001;628;0;"false";5058
469;2.0;1;4;0;5;1;1;17.7;0.43180799999999997;61.24995;0.155471;965;0;"false";6398
59;1.0;0;2;0;1;1;2;16.2909;0.400118;93.76335789473686;0.289686;471;1;"false";1446
151;2.0;0;5;0;2;1;1;31.0;0.725383;95.50005;0.111329;843;0;"false";3982
169;2.0;0;6;0;6;0;1;27.8667;0.643954;100.56255;0.11940799999999999;617;0;"false";5119
517;2.0;1;5;0;4;1;1;27.2;0.631329;73.93755;0.195279;986;0;"false";7338
696;4.0;1;11;0;1;1;1;12.5333;0.33900399999999997;80.31255;0.04665;1025;0;"false";5087
690;4.0;1;11;0;2;1;2;14.9667;0.38066700000000003;102.75;0.082725;796;0;"false";5634
455;2.0;1;3;0;5;1;2;14.8;0.375621;87.12495;0.138067;1016;0;"false";5459
506;2.0;1;5;0;0;0;1;24.8333;0.583967;79.56255;0.254367;783;0;"false";7129
91;2.0;0;4;0;5;1;2;12.0;0.283454;102.9375;0.258708;699;1;"false";2227
260;3.0;0;9;0;6;0;2;19.6667;0.478512;107.74995;0.189675;939;1;"false";4511
317;4.0;0;11;0;-1;0;1;17.6333;0.43055;68.74995;0.281721;829;0;"false";3717
145;2.0;0;5;0;3;1;1;26.4333;0.615542;104.4375;0.15423299999999998;702;0;"false";4978
695;4.0;1;11;0;0;0;1;9.8333;0.257583;70.24995;0.1505;728;0;"false";2424
595;3.0;1;8;0;5;1;1;28.9333;0.2424;85.62495;0.231354;887;0;"false";7148
427;1.0;1;3;0;5;1;2;14.1333;0.359842;98.56245;0.144904;867;0;"false";3194
515;2.0;1;5;0;2;1;1;28.9;0.672992;102.68745;0.2954;598;1;"false";5743
670;4.0;1;10;0;3;1;2;14.3;0.3611;100.00005;0.166667;747;0;"false";5566
284;4.0;0;10;0;2;1;2;22.6667;0.546096;121.3125;0.143042;800;0;"false";4563
3;2.4966740576496673;0;1;0;1;1;1;7.8546;0.189405;65.59095;0.248309;829;0;"false";1349
49;1.0;0;2;0;5;1;1;20.8667;0.511983;77.50005;0.264925;681;0;"false";2927
673;4.0;1;11;0;6;0;2;13.7333;0.323846;73.6875;0.270529;827;0;"false";5138
323;2.4966740576496673;0;11;0;6;0;1;13.1667;0.32448299999999997;75.31245;0.224496;1003;0;"false";3663
676;4.0;1;11;0;2;1;1;11.2333;0.281567;85.06245;0.173513;677;0;"false";5686
142;2.4966740576496673;0;5;0;0;0;1;24.1667;0.5745;112.43745;0.148008;703;0;"false";4660
211;3.0;0;7;0;6;0;1;32.1667;0.728537;69.87495;0.168537;637;0;"false";4475
437;1.0;1;3;0;1;1;1;18.6667;0.459592;73.37505;0.207713;497;0;"false";5298
598;3.0;1;8;0;1;1;2;25.4333;0.595967;110.12505;0.12997899999999998;611;0;"false";6530
343;4.0;0;12;0;5;1;1;11.6333;0.317542;104.37495;0.08271669999999999;875;0;"false";3620
526;2.0;1;6;0;6;0;1;28.4333;0.648367;65.56245;0.144287;593;0;"false";7498
251;3.0;0;9;0;-1;1;3;25.3565;0.555361;140.93475;0.192748;684;1;"false";1842
435;1.0;1;3;0;6;0;1;11.5;0.277767;52.56255;0.22575;994;1;"false";4118
593;3.0;1;8;0;3;1;1;28.2667;0.654037;92.93745;0.169771;501;0;"false";7347
394;1.0;1;1;0;0;0;1;11.3;0.272721;46.6875;0.24005;836;0;"false";3243
228;3.0;0;8;0;2;1;1;28.0333;0.645837;86.74995;0.23632899999999998;1019;0;"false";4725
708;4.0;1;12;0;6;0;2;15.2667;0.38950799999999997;136.6875;0.101379;620;0;"false";5582
42;1.0;0;2;0;5;1;1;7.5636;0.213509;75.9546;0.10855;946;0;"false";1746
412;1.0;1;2;0;4;1;2;12.6667;0.330162;112.93755;0.091425;632;0;"false";3005
551;3.0;1;7;1;3;0;1;31.5667;0.732337;80.8125;0.13495;702;0;"false";7403
390;1.0;1;1;0;3;1;1;11.7667;0.294821;96.5625;0.161071;465;0;"false";4270
566;3.0;1;7;0;4;1;1;30.8;0.714642;90.06255;0.165429;602;0;"false";6591
574;3.0;1;7;0;5;1;1;31.2667;0.734217;89.18745;0.15299200000000002;948;0;"false";6904
266;4.0;0;9;0;5;1;2;24.3667;0.522125;145.875;0.0783667;612;0;"false";2395
627;3.0;1;9;0;2;1;2;24.9333;0.565067;130.875;0.357587;795;0;"false";4073
109;2.0;0;4;0;2;1;2;20.2333;0.48925799999999997;99.87495;0.157971;707;0;"false";3204
612;3.0;1;9;1;1;0;1;28.3;0.661629;118.62495;0.151121;469;0;"false";6034
63;1.0;0;3;0;5;1;2;10.4667;0.255679;91.56255;0.203346;932;1;"false";1944
542;3.0;1;6;0;1;1;1;28.6333;0.654042;75.62505;0.300383;932;1;"false";6779
636;4.0;1;9;0;4;1;2;26.0;0.607975;103.62495;0.13434200000000002;472;0;"false";7393
167;2.0;0;6;0;4;1;2;25.1333;0.595346;103.24995;0.20647100000000002;462;0;"false";3767
259;3.0;0;9;0;5;1;2;18.7667;0.461475;88.56255;0.164183;467;0;"false";4760
87;2.4966740576496673;0;3;0;1;1;1;10.5739;0.25757399999999997;45.3261;0.212204;870;0;"false";2028
603;3.0;1;8;0;6;0;2;26.4667;0.618696;106.93755;0.244408;477;0;"false";6053
701;2.4966740576496673;1;12;0;6;0;2;11.9333;0.316904;121.00005;0.05970419999999999;602;0;"false";5191
337;4.0;0;12;0;6;0;1;11.9667;0.310604;91.93755;0.0957833;473;0;"false";3614
40;2.4966740576496673;0;2;0;3;1;2;5.3913;0.144283;74.21745;0.188839;474;0;"false";1605
518;2.4966740576496673;1;6;0;5;1;2;26.1667;0.607962;113.31255;0.23756300000000002;853;1;"false";4127
396;1.0;1;1;0;2;1;1;15.6;0.381317;62.50005;0.261817;963;0;"false";4509
195;3.0;0;7;0;4;1;1;27.2333;0.635104;71.4375;0.24066700000000002;711;1;"false";5084
268;4.0;0;9;0;0;0;2;25.3667;0.572637;126.75;0.0503792;1030;0;"false";5010
491;2.0;1;5;0;6;0;2;24.8667;0.584608;113.50005;0.15299200000000002;1007;0;"false";6883
278;4.0;0;10;0;3;1;1;21.5333;0.527138;97.18755;0.17725;935;0;"false";4826
724;1.0;1;12;0;1;1;2;9.2522;0.2589;93.76335789473686;0.07723039999999999;1030;1;"false";920
186;3.0;0;7;0;2;1;1;29.8667;0.696338;88.56255;0.12625799999999998;874;0;"false";4665
604;3.0;1;8;0;0;0;2;26.1333;0.595996;126.87495;0.228858;644;0;"false";5255
476;2.0;1;4;0;5;1;1;21.0667;0.515775;104.18745;0.149871;507;0;"false";7290
231;3.0;0;8;0;5;1;2;27.4;0.633221;108.43755;0.139308;687;0;"false";4153
280;2.4966740576496673;0;10;0;5;1;1;20.4333;0.504404;102.62505;0.0223917;991;0;"false";4985
95;2.0;0;4;0;2;1;2;16.5667;0.39835;96.31245;0.388067;626;0;"false";1795
56;1.0;0;2;0;5;1;2;14.5739;0.350461;93.76335789473686;0.346539;493;0;"false";1461
371;1.0;1;1;0;5;1;1;13.3667;0.340267;81.31245;0.167908;559;0;"false";4098
170;2.0;0;6;0;-1;0;2;27.9667;0.645846;100.00005;0.102;1019;0;"false";4744
218;3.0;0;8;0;6;0;2;28.6667;0.676154;93.76335789473686;0.22825;711;0;"false";4294
155;2.0;0;6;0;6;0;1;25.4;0.594696;68.4375;-1.0;624;0;"false";5342
492;2.0;1;5;0;0;0;2;22.5;0.546737;111.0;0.14987899999999998;527;0;"false";6359
672;4.0;1;11;0;5;1;1;14.2;0.356042;78.31245;0.266175;578;0;"false";5847
168;2.0;0;6;0;5;1;1;25.9667;0.600383;110.37495;0.143029;659;1;"false";4844
389;1.0;1;1;0;2;1;1;13.7;0.349108;93.76335789473686;0.123767;866;0;"false";4339
322;4.0;0;11;0;5;1;1;10.9667;0.272721;61.5;0.168533;673;0;"false";3392
333;4.0;0;11;0;2;1;2;18.3333;0.451375;124.62495;0.258092;767;0;"false";2914
126;2.0;0;5;0;5;1;1;19.1667;0.474117;93.76335789473686;0.228246;695;0;"false";4608
101;2.0;0;4;0;1;1;2;23.8261;0.565217;107.5434;0.324474;799;0;"false";3348
456;2.0;1;3;0;6;0;2;16.9667;0.42170799999999997;110.74995;0.25061700000000003;538;0;"false";6235
576;3.0;1;7;0;0;0;1;28.8667;0.667933;93.5625;0.170396;523;0;"false";6597
355;1.0;0;12;0;3;1;2;17.1333;0.428017;128.74995;0.2214;942;0;"false";2660
171;2.0;0;6;0;1;1;2;25.4;0.595346;111.9375;0.155475;1018;0;"false";4010
60;1.0;0;3;0;2;1;1;10.6667;0.263879;80.25;0.216425;971;0;"false";1851
158;2.0;0;6;0;2;1;1;28.3;0.65595;89.68755;0.187808;464;1;"false";4833
308;4.0;0;11;0;5;1;2;16.1333;0.40339200000000003;93.375;0.271779;769;0;"false";4046
731;1.0;1;12;0;1;1;2;8.6333;0.223487;86.625;0.154846;585;0;"false";2729
432;2.4966740576496673;1;3;0;3;1;1;16.1667;0.3851;76.99995;0.345779;490;0;"false";4916
178;3.0;0;6;0;1;1;2;27.3;0.637004;98.74995;0.10758800000000002;819;0;"false";4708
212;3.0;0;7;0;0;0;1;32.2333;0.729796;72.12495;0.16481300000000002;724;0;"false";4302
553;3.0;1;7;0;5;1;1;33.1333;0.752533;67.62495;0.146142;797;0;"false";6207
84;2.0;0;3;0;5;1;1;10.5667;0.256312;74.25;0.230725;776;0;"false";2210
728;1.0;1;12;0;5;1;2;10.1333;0.255046;88.5;0.155471;562;0;"false";3095
172;3.0;0;6;0;2;1;2;27.2333;0.637646;115.56255;0.171025;474;0;"false";4835
618;2.4966740576496673;1;9;0;0;0;1;24.4;0.578925;82.125;0.224496;494;0;"false";8227
223;3.0;0;8;0;4;1;1;28.7;0.651521;63.5625;0.164796;980;0;"false";4792
688;4.0;1;11;0;0;0;1;13.7;0.337746;103.93755;0.22761199999999998;899;0;"false";4669
51;1.0;0;2;0;0;0;1;11.4087;0.27733;61.1739;0.223235;628;0;"false";1812
147;2.0;0;5;0;5;1;1;27.2667;0.637008;98.0625;0.240679;789;0;"false";4679
247;3.0;0;9;0;0;0;1;28.3667;0.665429;111.31245;0.206467;606;0;"false";4940
570;3.0;1;7;0;1;1;1;29.6667;0.690017;104.12505;0.138683;603;0;"false";6966
217;3.0;0;8;0;5;1;1;28.4333;0.656567;94.62495;0.184696;747;0;"false";4866
684;4.0;1;11;0;3;1;1;11.5667;0.281563;82.81245;0.199625;478;0;"false";5495
75;1.0;0;3;0;3;1;2;14.6087;0.36693000000000003;116.4783;0.20311700000000002;837;0;"false";2192
610;3.0;1;9;0;6;0;2;30.1333;0.702654;95.74995;0.113187;823;0;"false";6140
544;3.0;1;6;0;3;1;1;27.9;0.640792;54.0;0.271775;897;0;"false";7335
495;2.0;1;5;0;3;1;2;23.0;0.553025;111.62505;0.216412;571;0;"false";4717
443;1.0;1;3;0;0;0;2;18.9;0.46399999999999997;121.5;0.126883;1016;1;"false";5892
561;3.0;1;7;0;6;0;2;28.1333;0.666042;104.87505;0.143679;809;0;"false";6969
692;2.4966740576496673;1;11;1;4;0;1;13.6;0.350371;87.06255;0.05287080000000001;535;0;"false";2425
494;2.4966740576496673;1;5;0;2;1;2;23.2667;0.557471;102.87495;0.296029;596;0;"false";5728
99;2.0;0;4;0;6;0;2;13.7;0.34152899999999997;131.625;0.13308299999999998;803;0;"false";2455
54;1.0;0;2;0;3;1;1;8.8696;0.24571700000000002;63.45645;0.094113;674;1;"false";1917
250;3.0;0;9;0;3;1;3;23.9667;0.544229;137.56245;0.0970208;892;0;"false";1996
131;2.0;0;5;0;3;1;1;21.7;0.5284;94.93755;0.12064200000000001;549;0;"false";4182
500;2.0;1;5;0;1;1;2;22.9333;0.5499;118.43745;0.21269200000000002;768;0;"false";2843
522;2.0;1;6;0;2;1;2;21.6333;0.525892;91.99995;0.209575;831;0;"false";7001
538;3.0;1;6;0;4;1;1;32.2333;0.752542;85.18755;0.11878699999999999;692;0;"false";5905
191;3.0;0;7;0;0;0;1;29.9;0.690025;86.74995;0.183471;492;0;"false";4881
238;3.0;0;8;0;5;1;1;28.0;0.659733;114.1875;0.0839625;875;0;"false";4661
80;2.0;0;3;0;1;1;2;17.2174;0.409735;110.60865;0.288783;817;0;"false";2077
47;1.0;0;2;0;3;1;1;12.7304;0.3162;63.5217;0.251791;1029;0;"false";2115
414;1.0;1;2;0;6;0;1;13.8667;0.355425;80.18745;0.190929;900;0;"false";4318
384;1.0;1;1;0;-1;1;1;7.6;0.190038;74.625;0.220158;637;0;"false";3292
166;2.4966740576496673;0;6;0;3;1;1;25.0667;0.587754;70.75005;0.16791199999999998;749;0;"false";5180
